[일시]DI동일,시가,고가,저가,종가,대비,대비율,<가격이동평균>10,[거래량]
2020/11/30,87700,88400,86800,88000,▲1000,＋1.15%,85110,6091
2020/11/27,85700,87300,85200,87000,▲1300,＋1.52%,84860,7762
2020/11/26,85500,86200,85000,85700,▲500,＋0.59%,85120,5023
2020/11/25,85300,86500,84700,85200,▼100,－0.12%,85520,12948
2020/11/24,83800,85300,83500,85300,▲1500,＋1.79%,86020,11149
2020/11/23,83900,84600,83200,83800,▲600,＋0.72%,86400,9174
2020/11/20,83800,84200,82700,83200,▼200,－0.24%,86840,14305
2020/11/19,84700,85000,83400,83400,▼1300,－1.53%,87090,12600
2020/11/18,84700,85500,84500,84700,▼100,－0.12%,87320,9116
2020/11/17,85800,86800,84100,84800,▼700,－0.82%,87330,18033
2020/11/16,88900,90600,84700,85500,▼4100,－4.58%,87320,31511
2020/11/13,90400,90400,88500,89600,▼100,－0.11%,87100,5965
2020/11/12,90700,91900,89500,89700,▼500,－0.55%,86500,6852
2020/11/11,89300,90700,89200,90200,▲1100,＋1.23%,86010,7071
2020/11/10,88800,91300,87300,89100,▲900,＋1.02%,85480,13152
2020/11/09,86300,89000,86300,88200,▲2500,＋2.92%,85060,11726
2020/11/06,85800,86000,85000,85700,0.0,0.00%,84700,5172
2020/11/05,85200,86300,84900,85700,▲900,＋1.06%,84810,4982
2020/11/04,84700,85200,84400,84800,▲100,＋0.12%,84800,2380
2020/11/03,84200,85900,83400,84700,▲1400,＋1.68%,84960,6620
2020/11/02,82400,84300,82400,83300,▼300,－0.36%,84980,4282
2020/10/30,84600,85700,83600,83600,▼1200,－1.42%,85150,2764
2020/10/29,84100,84900,83000,84800,▼100,－0.12%,85270,6874
2020/10/28,85900,85900,84400,84900,0.0,0.00%,85350,3075
2020/10/27,84500,85500,84100,84900,▲300,＋0.35%,85420,3273
2020/10/26,87600,87600,84500,84600,▼2200,－2.53%,85530,7132
2020/10/23,86800,87400,85100,86800,▲1200,＋1.40%,85850,9127
2020/10/22,86400,86400,85000,85600,▼800,－0.93%,86030,3361
2020/10/21,85600,86700,85000,86400,▲1500,＋1.77%,86390,5663
2020/10/20,85100,85900,84300,84900,▼100,－0.12%,86690,3784
2020/10/19,84300,86000,84300,85000,▲200,＋0.24%,87100,4346
2020/10/16,86800,86800,84600,84800,▼800,－0.93%,87310,8229
2020/10/15,85200,86400,85000,85600,0.0,0.00%,87420,10207
2020/10/14,84900,86400,84900,85600,▼400,－0.47%,87440,9733
2020/10/13,87800,88700,85400,86000,▼1800,－2.05%,87500,14733
2020/10/12,89400,89400,87500,87800,▼800,－0.90%,87900,4433
2020/10/08,89300,89500,87800,88600,▼600,－0.67%,88370,4855
2020/10/07,89100,89700,88600,89200,▼200,－0.22%,88500,5020
2020/10/06,89600,91000,88200,89400,▲400,＋0.45%,88360,5150
2020/10/05,87200,89600,86000,89000,▲1900,＋2.18%,88150,7340
2020/09/29,85900,87100,85400,87100,▲1200,＋1.40%,88250,5442
2020/09/28,83900,86800,83900,85900,▲100,＋0.12%,88660,6878
2020/09/25,88000,88000,84900,85800,▼400,－0.46%,89340,11334
2020/09/24,88100,89200,85900,86200,▼3800,－4.22%,89990,22823
2020/09/23,96200,96900,89300,90000,▼2500,－2.70%,90670,33927
2020/09/22,91000,94600,90200,92500,▲2600,＋2.89%,90550,68571
2020/09/21,87800,92600,86200,89900,▲2100,＋2.39%,89990,39124
2020/09/18,87400,88000,86500,87800,▲500,＋0.57%,89720,7292
2020/09/17,90000,90300,86500,87300,▼2700,－3.00%,89560,17533
2020/09/16,91200,92900,89300,90000,▼1200,－1.32%,89610,8829
2020/09/15,92000,93000,91000,91200,▼1500,－1.62%,89450,11343
2020/09/14,92300,94100,91500,92700,▲400,＋0.43%,89070,13249
2020/09/11,93200,93300,90800,92300,▼700,－0.75%,88570,11523
