[일시]GS글로벌,시가,고가,저가,종가,대비,대비율,<가격이동평균>120,10,[거래량]
2020-12-24,1965,1985,1950,1965,▲15,0.77%,1764,1990,261935
2020-12-23,1975,1995,1930,1950,▼25,-1.27%,1761,1985,341863
2020-12-22,2015,2020,1975,1975,▼45,-2.23%,1759,1980,485776
2020-12-21,1975,2030,1955,2020,▲40,2.02%,1756,1971,513687
2020-12-18,2010,2015,1965,1980,▼30,-1.49%,1753,1955,456224
2020-12-17,2025,2030,1990,2010,▼15,-0.74%,1750,1948,383856
2020-12-16,2030,2035,2010,2025,▼5,-0.25%,1747,1939,392614
2020-12-15,2010,2070,2005,2030,▲25,1.25%,1745,1929,851786
2020-12-14,1945,2070,1935,2005,▲65,3.35%,1742,1919,2351955
2020-12-11,1910,1945,1910,1940,▲30,1.57%,1739,1909,340519
2020-12-10,1905,1920,1885,1910,▲5,0.26%,1737,1909,270868
2020-12-09,1890,1920,1870,1905,▲25,1.33%,1736,1912,226700
2020-12-08,1860,1890,1850,1880,▲15,0.80%,1734,1918,218992
2020-12-07,1920,1920,1850,1865,▼45,-2.36%,1733,1931,369916
2020-12-04,1930,1935,1890,1910,▼10,-0.52%,1732,1937,456583
2020-12-03,1930,1930,1905,1920,▼5,-0.26%,1731,1930,274736
2020-12-02,1935,1940,1915,1925,0,0.00%,1730,1922,435432
2020-12-01,1920,1945,1920,1925,▲15,0.79%,1730,1915,311239
2020-11-30,1935,1950,1910,1910,▼25,-1.29%,1730,1909,492682
2020-11-27,1930,1955,1925,1935,▼5,-0.26%,1730,1905,328228
2020-11-26,1965,1980,1910,1940,▼30,-1.52%,1730,1895,523973
2020-11-25,2020,2025,1920,1970,▼40,-1.99%,1730,1884,1320626
2020-11-24,1935,2010,1915,2010,▲90,4.69%,1728,1870,1470429
2020-11-23,1840,1940,1830,1920,▲75,4.07%,1726,1851,1462572
2020-11-20,1845,1850,1825,1845,▲5,0.27%,1724,1838,369401
2020-11-19,1840,1845,1820,1840,▼10,-0.54%,1723,1828,353480
2020-11-18,1875,1875,1830,1850,▼15,-0.80%,1722,1819,630201
2020-11-17,1885,1885,1835,1865,▼10,-0.53%,1722,1806,386024
2020-11-16,1830,1885,1830,1875,▲45,2.46%,1720,1792,738206
2020-11-13,1820,1845,1800,1830,▼5,-0.27%,1719,1778,433703
2020-11-12,1830,1835,1810,1835,▲5,0.27%,1717,1761,487012
2020-11-11,1820,1835,1800,1830,▲15,0.83%,1716,1748,407213
2020-11-10,1810,1840,1780,1815,▲20,1.11%,1715,1736,793899
2020-11-09,1750,1795,1740,1795,▲55,3.16%,1714,1723,454348
2020-11-06,1765,1765,1735,1740,▼10,-0.57%,1713,1713,306470
2020-11-05,1730,1765,1720,1750,▲25,1.45%,1712,1713,371119
2020-11-04,1745,1745,1715,1725,0,0.00%,1711,1711,161674
2020-11-03,1735,1740,1705,1725,▼5,-0.29%,1711,1712,226056
2020-11-02,1695,1750,1665,1730,▲65,3.90%,1710,1711,220840
2020-10-30,1710,1715,1645,1665,▼40,-2.35%,1710,1711,232826
2020-10-29,1690,1715,1655,1705,0,0.00%,1711,1709,282661
2020-10-28,1685,1710,1670,1705,▲15,0.89%,1711,1708,90239
2020-10-27,1695,1700,1655,1690,0,0.00%,1712,1708,167940
2020-10-26,1745,1745,1690,1690,▼50,-2.87%,1712,1712,166344
2020-10-23,1735,1755,1715,1740,▲10,0.58%,1713,1718,178972
2020-10-22,1745,1760,1700,1730,▼10,-0.57%,1713,1718,262022
2020-10-21,1720,1745,1695,1740,▲30,1.75%,1712,1719,153978
2020-10-20,1725,1770,1680,1710,▼20,-1.16%,1710,1718,170167
2020-10-19,1665,1745,1665,1730,▲80,4.85%,1709,1721,304820
2020-10-16,1690,1700,1645,1650,▼40,-2.37%,1708,1715,215619
2020-10-15,1690,1705,1670,1690,▼15,-0.88%,1707,1713,165293
2020-10-14,1730,1730,1685,1705,▼25,-1.45%,1707,1703,236877
2020-10-13,1760,1765,1715,1730,▼25,-1.42%,1706,1692,265259
2020-10-12,1745,1755,1720,1755,▲15,0.86%,1704,1685,299267
2020-10-08,1755,1760,1730,1740,▲5,0.29%,1703,1675,171276
2020-10-07,1735,1750,1720,1735,0,0.00%,1700,1672,141126
2020-10-06,1740,1765,1720,1735,▼5,-0.29%,1699,1672,249337
2020-10-05,1665,1755,1660,1740,▲75,4.50%,1697,1672,388266
2020-09-29,1640,1665,1635,1665,▲35,2.15%,1695,1674,139532
2020-09-28,1600,1640,1600,1630,▲40,2.52%,1693,1684,81825
2020-09-25,1615,1625,1520,1590,▼10,-0.63%,1691,1697,242435
2020-09-24,1620,1655,1590,1600,▼55,-3.32%,1690,1710,292586
2020-09-23,1685,1685,1625,1655,0,0.00%,1688,1724,192058
2020-09-22,1695,1710,1635,1655,▼55,-3.22%,1685,1727,206981
2020-09-21,1735,1740,1695,1710,▼25,-1.44%,1682,1731,181317
2020-09-18,1725,1745,1710,1735,0,0.00%,1677,1730,122875
2020-09-17,1760,1770,1720,1735,▼25,-1.42%,1673,1724,188082
2020-09-16,1780,1780,1760,1760,▼10,-0.56%,1668,1722,265251
2020-09-15,1760,1785,1750,1770,▲15,0.85%,1662,1715,438577
2020-09-14,1735,1775,1730,1755,▲30,1.74%,1656,1704,347129
2020-09-11,1740,1740,1705,1725,▼15,-0.86%,1650,1691,171681
2020-09-10,1695,1780,1695,1740,▲55,3.26%,1644,1679,336121
2020-09-09,1685,1705,1670,1685,▼10,-0.59%,1638,1665,155758
2020-09-08,1705,1725,1690,1695,▼5,-0.29%,1633,1660,201818
2020-09-07,1685,1720,1660,1700,▲25,1.49%,1629,1656,255033
2020-09-04,1650,1695,1625,1675,▼35,-2.05%,1626,1649,243685
2020-09-03,1705,1725,1695,1710,▲15,0.88%,1623,1645,231440
2020-09-02,1665,1710,1655,1695,▲40,2.42%,1621,1632,388235
2020-09-01,1630,1655,1605,1655,▲30,1.85%,1621,1635,167488
2020-08-31,1625,1660,1625,1625,▲15,0.93%,1621,1642,206490
2020-08-28,1605,1635,1600,1610,▲10,0.63%,1622,1663,186196
2020-08-27,1645,1645,1590,1600,▼35,-2.14%,1624,1682,288101
