[일시]SK네트웍스,시가,고가,저가,종가,대비,대비율,<가격이동평균>120,10,[거래량]
2020/12/24,4735,4790,4715,4785,▲70,＋1.48%,4897,4771,710735
2020/12/23,4745,4755,4690,4715,0.0,0.00%,4898,4774,718967
2020/12/22,4770,4795,4715,4715,▼75,－1.57%,4900,4780,726541
2020/12/21,4780,4800,4730,4790,▲55,＋1.16%,4900,4782,702393
2020/12/18,4770,4805,4735,4735,▼30,－0.63%,4900,4780,968193
2020/12/17,4780,4795,4750,4765,▼5,－0.10%,4901,4790,547839
2020/12/16,4740,4785,4730,4770,▲45,＋0.95%,4901,4801,488551
2020/12/15,4830,4835,4695,4725,▼85,－1.77%,4902,4810,1712276
2020/12/14,4930,4930,4810,4810,▼90,－1.84%,4903,4818,788740
2020/12/11,4815,4985,4810,4900,▲90,＋1.87%,4904,4818,1597022
2020/12/10,4790,4820,4720,4810,▲30,＋0.63%,4905,4808,1550859
2020/12/09,4750,4805,4745,4780,▲45,＋0.95%,4906,4809,501864
2020/12/08,4765,4790,4730,4735,▼30,－0.63%,4909,4821,450108
2020/12/07,4805,4815,4755,4765,▼70,－1.45%,4912,4830,526446
2020/12/04,4865,4880,4795,4835,▼45,－0.92%,4913,4833,644847
2020/12/03,4820,4880,4795,4880,▲20,＋0.41%,4915,4825,463631
2020/12/02,4805,4870,4770,4860,▲60,＋1.25%,4918,4807,651863
2020/12/01,4800,4850,4800,4800,▼15,－0.31%,4922,4797,371364
2020/11/30,4805,4840,4780,4815,▲15,＋0.31%,4928,4792,441854
2020/11/27,4800,4835,4765,4800,▼20,－0.41%,4932,4791,404743
2020/11/26,4880,4900,4820,4820,▼75,－1.53%,4938,4790,476303
2020/11/25,4835,4950,4835,4895,▲70,＋1.45%,4944,4794,1033629
2020/11/24,4785,4840,4785,4825,▲30,＋0.63%,4949,4791,577210
2020/11/23,4760,4830,4735,4795,▲40,＋0.84%,4953,4781,547553
2020/11/20,4710,4780,4695,4755,▲50,＋1.06%,4957,4766,450975
2020/11/19,4750,4775,4655,4705,▼50,－1.05%,4961,4751,512454
2020/11/18,4755,4795,4730,4755,0.0,0.00%,4965,4748,273459
2020/11/17,4810,4835,4755,4755,▼50,－1.04%,4970,4733,500513
2020/11/16,4795,4825,4760,4805,▲15,＋0.31%,4975,4717,523535
2020/11/13,4855,4855,4770,4790,▼65,－1.34%,4977,4690,361143
2020/11/12,4855,4855,4765,4855,▼10,－0.21%,4979,4664,714326
