[일시]금양,시가,고가,저가,종가,대비,대비율,<가격이동평균>120,10,[거래량]
2020/12/24,6400,6560,6060,6090,▼350,－5.43%,4986,6440,1258109
2020/12/23,6390,6720,6190,6440,0.0,0.00%,4967,6375,1893614
2020/12/22,6790,6860,6240,6440,▼480,－6.94%,4945,6261,1816811
2020/12/21,7130,7200,6780,6920,▼280,－3.89%,4923,6150,2107511
2020/12/18,7390,7480,7200,7200,▼350,－4.64%,4895,5992,3257569
2020/12/17,7470,7800,7130,7550,▲80,＋1.07%,4866,5804,11019337
2020/12/16,6540,7470,6400,7470,▲1720,＋29.91%,4836,5590,16332990
2020/12/15,5170,5750,5050,5750,▲580,＋11.22%,4810,5381,1943106
2020/12/14,5330,5330,5130,5170,▼200,－3.72%,4795,5338,277553
2020/12/11,5430,5430,5320,5370,▼70,－1.29%,4785,5337,235501
2020/12/10,5290,5450,5240,5440,▲140,＋2.64%,4772,5331,412005
2020/12/09,5350,5400,5250,5300,▼30,－0.56%,4757,5319,245546
2020/12/08,5380,5470,5280,5330,▼10,－0.19%,4743,5321,143729
2020/12/07,5280,5490,5270,5340,▲20,＋0.38%,4722,5336,301923
2020/12/04,5410,5480,5260,5320,▼90,－1.66%,4699,5331,296656
2020/12/03,5350,5810,5330,5410,▲30,＋0.56%,4677,5322,1138702
2020/12/02,5370,5380,5250,5380,▲60,＋1.13%,4658,5303,172313
2020/12/01,5130,5390,5090,5320,▲160,＋3.10%,4639,5294,260421
2020/11/30,5370,5370,5140,5160,▼150,－2.82%,4620,5300,214863
2020/11/27,5320,5350,5240,5310,▼10,－0.19%,4603,5296,75501
2020/11/26,5330,5350,5230,5320,0.0,0.00%,4586,5284,94618
2020/11/25,5480,5490,5210,5320,▼160,－2.92%,4569,5279,250487
2020/11/24,5290,5500,5230,5480,▲190,＋3.59%,4552,5266,417772
2020/11/23,5240,5310,5160,5290,▲60,＋1.15%,4533,5245,185289
2020/11/20,5230,5310,5190,5230,▲10,＋0.19%,4514,5247,115064
2020/11/19,5220,5300,5180,5220,▼70,－1.32%,4496,5239,103898
2020/11/18,5400,5420,5160,5290,▼90,－1.67%,4478,5231,232879
2020/11/17,5070,5400,5070,5380,▲260,＋5.08%,4460,5201,477126
2020/11/16,5170,5210,5030,5120,▼70,－1.35%,4439,5160,222117
2020/11/13,5190,5250,5140,5190,▼80,－1.52%,4418,5128,108091
2020/11/12,5260,5350,5190,5270,▲80,＋1.54%,4396,5085,191304
2020/11/11,5280,5330,5110,5190,▼80,－1.52%,4374,5039,138357
2020/11/10,5320,5380,5170,5270,▼40,－0.75%,4352,5000,204821
2020/11/09,5150,5410,5140,5310,▲160,＋3.11%,4329,4953,397911
