[일시]금호전기,시가,고가,저가,종가,대비,대비율,<가격이동평균>120,10,[거래량]
2020-12-24,3095,3140,3045,3100,▲5,0.16%,3798,3318,32779
2020-12-23,3210,3240,3000,3095,▼145,-4.48%,3801,3359,133398
2020-12-22,3385,3420,3220,3240,▼145,-4.28%,3804,3403,105261
2020-12-21,3470,3475,3340,3385,▼20,-0.59%,3804,3428,35336
2020-12-18,3325,3405,3290,3405,▲80,2.41%,3802,3441,39788
2020-12-17,3390,3415,3195,3325,▼90,-2.64%,3801,3462,90387
2020-12-16,3375,3435,3355,3415,▲50,1.49%,3800,3504,36779
2020-12-15,3380,3410,3310,3365,▼15,-0.44%,3799,3536,71131
2020-12-14,3435,3465,3350,3380,▼90,-2.59%,3799,3577,122472
2020-12-11,3525,3525,3430,3470,▼35,-1.00%,3798,3620,74319
2020-12-10,3680,3680,3495,3505,▼35,-0.99%,3798,3654,47380
2020-12-09,3510,3545,3485,3540,▲55,1.58%,3796,3671,33204
2020-12-08,3485,3580,3420,3485,▼35,-0.99%,3794,3694,72609
2020-12-07,3615,3650,3480,3520,▼95,-2.63%,3793,3730,55183
2020-12-04,3745,3780,3585,3615,▼130,-3.47%,3791,3758,98242
2020-12-03,3710,3770,3695,3745,▲15,0.40%,3791,3782,58261
2020-12-02,3870,3870,3730,3730,▼50,-1.32%,3789,3791,51023
2020-12-01,3810,3890,3750,3780,▼30,-0.79%,3789,3811,50437
2020-11-30,3810,3835,3750,3810,0,0.00%,3788,3824,96693
2020-11-27,3670,3810,3550,3810,▲140,3.81%,3788,3841,111914
2020-11-26,3735,3775,3645,3670,▼100,-2.65%,3791,3865,81077
2020-11-25,4000,4000,3690,3770,▼75,-1.95%,3795,3909,127703
2020-11-24,3905,3905,3760,3845,▲45,1.18%,3795,3932,53500
2020-11-23,3905,3905,3765,3800,▼55,-1.43%,3791,3960,92030
2020-11-20,3840,3900,3815,3855,▲15,0.39%,3787,3981,41587
2020-11-19,3930,3945,3820,3840,▼90,-2.29%,3782,3996,69515
2020-11-18,3875,3955,3815,3930,▲20,0.51%,3779,4013,72475
2020-11-17,3980,4040,3900,3910,▼70,-1.76%,3774,4025,60192
2020-11-16,4090,4125,3900,3980,▼70,-1.73%,3770,4054,72681
2020-11-13,4110,4190,3990,4050,▼60,-1.46%,3765,4086,83843
2020-11-12,4080,4195,4025,4110,▲110,2.75%,3760,4118,73775
2020-11-11,4140,4185,3980,4000,▼120,-2.91%,3754,4132,73912
2020-11-10,4025,4185,3950,4120,▲105,2.62%,3749,4172,128553
2020-11-09,4000,4145,3945,4015,▲15,0.38%,3744,4204,135261
2020-11-06,4145,4180,3865,4000,▼10,-0.25%,3738,4242,134336
2020-11-05,4100,4160,3995,4010,▼40,-0.99%,3733,4304,71252
2020-11-04,4380,4380,3950,4050,▼150,-3.57%,3729,4382,87370
2020-11-03,4395,4395,4195,4200,▼100,-2.33%,3725,4437,68414
2020-11-02,4330,4405,4280,4300,▼70,-1.60%,3720,4465,49498
2020-10-30,4280,4430,4175,4370,▲115,2.70%,3714,4490,141421
2020-10-29,4385,4385,4095,4255,▼140,-3.19%,3708,4513,116955
2020-10-28,4380,4480,4325,4395,▼50,-1.12%,3701,4557,66365
2020-10-27,4385,4555,4100,4445,▲55,1.25%,3692,4591,85415
2020-10-26,4620,4620,4340,4390,▼230,-4.98%,3684,4595,154345
2020-10-23,4790,4985,4615,4620,▼170,-3.55%,3676,4617,220165
2020-10-22,4600,4805,4490,4790,▲190,4.13%,3666,4613,270504
2020-10-21,4480,4650,4480,4600,▲120,2.68%,3654,4601,44840
2020-10-20,4500,4700,4370,4480,▼70,-1.54%,3642,4612,95731
2020-10-19,4600,4710,4540,4550,▼50,-1.09%,3633,4615,77107
2020-10-16,4700,4700,4510,4600,▼100,-2.13%,3622,4642,78136
2020-10-15,4735,4940,4605,4700,▼35,-0.74%,3612,4674,216302
2020-10-14,4420,4835,4400,4735,▲250,5.57%,3602,4626,233337
2020-10-13,4555,4640,4400,4485,▼120,-2.61%,3591,4570,120709
2020-10-12,4500,4805,4470,4605,▲25,0.55%,3583,4584,148189
2020-10-08,4670,4730,4525,4580,▼90,-1.93%,3572,4592,84341
2020-10-07,4650,4755,4610,4670,▼45,-0.95%,3561,4592,89449
2020-10-06,4600,4790,4430,4715,▲210,4.66%,3549,4572,248543
2020-10-05,4820,5060,4500,4505,▼315,-6.54%,3537,4534,295094
2020-09-29,4820,5050,4770,4820,▼100,-2.03%,3527,4478,233206
2020-09-28,4380,4930,4265,4920,▲695,16.45%,3512,4414,508498
2020-09-25,4260,4320,4125,4225,▲55,1.32%,3494,4297,132553
2020-09-24,4625,4625,4035,4170,▼455,-9.84%,3479,4205,349169
2020-09-23,4790,4790,4530,4625,▼65,-1.39%,3463,4118,150014
2020-09-22,4695,4795,4500,4690,▲115,2.51%,3444,3988,238829
2020-09-21,4420,4795,4320,4575,▲100,2.23%,3425,3856,305353
2020-09-18,4310,4560,4020,4475,▲140,3.23%,3405,3731,370869
2020-09-17,3960,4475,3945,4335,▲390,9.89%,3387,3616,815982
2020-09-16,4175,4350,3945,3945,▼230,-5.51%,3371,3515,734632
2020-09-15,3790,4395,3690,4175,▲425,11.33%,3355,3459,1454380
2020-09-14,3305,3890,3305,3750,▲445,13.46%,3337,3381,839364
2020-09-11,3325,3325,3150,3305,0,0.00%,3320,3329,66016
2020-09-10,3345,3345,3275,3305,▼15,-0.45%,3306,3318,28810
