[일시]대상,시가,고가,저가,종가,대비,대비율,<가격이동평균>120,10,[거래량]
2020/12/24,26250,26750,26150,26700,▲400,＋1.52%,26163,26125,235605
2020/12/23,26250,26550,25900,26300,▲200,＋0.77%,26160,26000,230823
2020/12/22,26250,27050,26100,26100,0.0,0.00%,26154,25915,643567
2020/12/21,26150,26350,25850,26100,▲200,＋0.77%,26152,25860,194906
2020/12/18,26000,26150,25750,25900,0.0,0.00%,26148,25780,213047
2020/12/17,26300,26400,25850,25900,▼350,－1.33%,26154,25730,202946
2020/12/16,26000,26350,25800,26250,▲350,＋1.35%,26164,25675,224404
2020/12/15,26100,26150,25600,25900,▼150,－0.58%,26180,25595,196120
2020/12/14,26250,26650,26000,26050,0.0,0.00%,26198,25530,376534
2020/12/11,25550,26350,25500,26050,▲600,＋2.36%,26204,25385,381349
2020/12/10,25550,25750,25200,25450,0.0,0.00%,26218,25290,278751
2020/12/09,25650,25700,25300,25450,▼100,－0.39%,26234,25240,199905
2020/12/08,25450,25700,25200,25550,▲250,＋0.99%,26245,25180,217600
2020/12/07,25500,25500,25050,25300,▼100,－0.39%,26255,25155,230004
2020/12/04,25550,25900,25250,25400,▲50,＋0.20%,26255,25185,422023
2020/12/03,25500,25550,25350,25350,▼100,－0.39%,26252,25195,169357
2020/12/02,25300,25450,25100,25450,▲200,＋0.79%,26249,25195,196413
2020/12/01,24750,25250,24750,25250,▲650,＋2.64%,26241,25195,217247
2020/11/30,25100,25200,24600,24600,▼500,－1.99%,26235,25200,188311
2020/11/27,24950,25100,24900,25100,▲150,＋0.60%,26234,25285,99606
2020/11/26,24850,25050,24750,24950,▲100,＋0.40%,26232,25280,155134
2020/11/25,25300,25400,24650,24850,▼450,－1.78%,26230,25315,370353
2020/11/24,25700,25700,25200,25300,▼300,－1.17%,26231,25355,299737
2020/11/23,25650,25700,25500,25600,▲100,＋0.39%,26235,25345,176555
2020/11/20,25250,25500,25200,25500,▲150,＋0.59%,26235,25330,118688
2020/11/19,25550,25550,25250,25350,▼100,－0.39%,26232,25275,130993
2020/11/18,25250,25600,25100,25450,▲150,＋0.59%,26233,25280,133115
2020/11/17,25650,25700,25100,25300,▼150,－0.59%,26234,25275,177899
2020/11/16,25200,25500,25050,25450,▲400,＋1.60%,26235,25190,163861
2020/11/13,25200,25300,25050,25050,▼250,－0.99%,26241,25070,108821
2020/11/12,25300,25500,25200,25300,▲50,＋0.20%,26249,24970,112601
2020/11/11,25200,25450,25050,25250,▲50,＋0.20%,26258,24920,163471
2020/11/10,25700,25700,25200,25200,▼250,－0.98%,26266,24905,124163
2020/11/09,25050,25500,25000,25450,▲500,＋2.00%,26262,24875,103419
2020/11/06,25450,25500,24900,24950,▼450,－1.77%,26264,24825,127037
2020/11/05,25400,25600,25100,25400,0.0,0.00%,26277,24865,141841
2020/11/04,24550,25550,24500,25400,▲950,＋3.89%,26285,24870,209905
2020/11/03,24200,24700,24200,24450,▲200,＋0.82%,26288,24890,99004
2020/11/02,24050,24350,23900,24250,▲200,＋0.83%,26288,24970,82643
2020/10/30,24750,24750,23950,24050,▼750,－3.02%,26283,25065,130775
2020/10/29,24750,24850,24400,24800,▼300,－1.20%,26280,25200,84311
2020/10/28,24750,25100,24600,25100,▲200,＋0.80%,26273,25275,65683
2020/10/27,24650,25100,24400,24900,▼50,－0.20%,26258,25305,114926
2020/10/26,25350,25350,24650,24950,▼400,－1.58%,26229,25410,125055
2020/10/23,25350,25500,25100,25350,▼100,－0.39%,26204,25530,77221
2020/10/22,25600,25600,25100,25450,▼150,－0.59%,26179,25640,128746
2020/10/21,25250,25700,25100,25600,▲350,＋1.39%,26154,25730,120723
2020/10/20,25050,25350,25000,25250,▲50,＋0.20%,26119,25830,105968
2020/10/19,25150,25550,25100,25200,▼200,－0.79%,26075,25930,99016
2020/10/16,25600,25800,25000,25400,▼150,－0.59%,26023,26010,129016
2020/10/15,25400,25550,24950,25550,▲150,＋0.59%,25970,26025,112320
2020/10/14,26150,26150,25250,25400,▼550,－2.12%,25917,25940,174358
2020/10/13,26250,26300,25700,25950,▼200,－0.76%,25867,25870,139097
2020/10/12,26700,26700,26000,26150,▼300,－1.13%,25814,25850,136679
2020/10/08,26350,26750,26100,26450,▲100,＋0.38%,25759,25845,111217
2020/10/07,26400,26450,26150,26350,▼250,－0.94%,25702,25915,89184
2020/10/06,26150,26800,26100,26600,▲350,＋1.33%,25640,25970,132225
2020/10/05,26300,26450,26000,26250,▲250,＋0.96%,25577,25985,95693
2020/09/29,25750,26200,25600,26000,▲450,＋1.76%,25515,26060,129946
2020/09/28,24900,25550,24850,25550,▲850,＋3.44%,25458,26170,81871
2020/09/25,24900,25050,24450,24700,0.0,0.00%,25405,26370,146157
2020/09/24,25400,25450,24550,24700,▼1050,－4.08%,25355,26650,275165
2020/09/23,26300,26450,25500,25750,▼350,－1.34%,25303,26895,201798
2020/09/22,27400,27400,25900,26100,▼1050,－3.87%,25233,26980,269158
2020/09/21,27150,27700,27050,27150,▲250,＋0.93%,25157,27080,260438
2020/09/18,26950,27100,26750,26900,▲150,＋0.56%,25064,27045,101025
2020/09/17,27000,27250,26650,26750,▼250,－0.93%,24969,27080,204381
2020/09/16,27050,27400,26800,27000,▼100,－0.37%,24874,27185,228667
2020/09/15,27550,27600,27000,27100,▼450,－1.63%,24776,27290,240494
2020/09/14,27700,27700,27350,27550,▲50,＋0.18%,24670,27395,165393
2020/09/11,27100,27600,27000,27500,▲350,＋1.29%,24555,27530,177257
2020/09/10,26900,27550,26650,27150,▲550,＋2.07%,24446,27715,276015
2020/09/09,26800,27000,26550,26600,▼500,－1.85%,24330,27860,231206
2020/09/08,27000,27450,26950,27100,▲300,＋1.12%,24230,28015,232306
2020/09/07,27350,27400,26700,26800,▼450,－1.65%,24134,28135,323755
2020/09/04,26950,27400,26950,27250,▼550,－1.98%,24040,28235,270415
2020/09/03,28100,28200,27600,27800,▼250,－0.89%,23945,28190,304172
2020/09/02,28500,28600,27700,28050,▼100,－0.36%,23853,28210,286013
2020/09/01,28800,29000,27850,28150,▼750,－2.60%,23768,28230,412680
2020/08/31,30000,30300,28450,28900,▼450,－1.53%,23686,28220,451362
