[일시]대상우,시가,고가,저가,종가,대비,대비율,<가격이동평균>120,10,[거래량]
2020/12/24,19300,19300,19050,19200,▲100,＋0.52%,16932,18635,6932
2020/12/23,19200,19200,18800,19100,▲50,＋0.26%,16888,18510,8395
2020/12/22,18800,19350,18700,19050,▲150,＋0.79%,16842,18390,15227
2020/12/21,19000,19150,18400,18900,▲200,＋1.07%,16797,18275,7494
2020/12/18,18450,18700,18200,18700,▲600,＋3.31%,16751,18185,11328
2020/12/17,18750,18800,17850,18100,▼350,－1.90%,16713,18100,15947
2020/12/16,18150,18800,18150,18450,▲100,＋0.54%,16680,18080,9725
2020/12/15,18350,18450,18050,18350,▼50,－0.27%,16650,18020,3977
2020/12/14,18150,18550,18050,18400,▲300,＋1.66%,16620,17960,10576
2020/12/11,18100,18250,17950,18100,▲150,＋0.84%,16588,17875,6349
2020/12/10,17850,18000,17850,17950,▲50,＋0.28%,16565,17845,3287
2020/12/09,18150,18150,17850,17900,0.0,0.00%,16553,17820,3822
2020/12/08,18050,18200,17800,17900,▼100,－0.56%,16536,17790,6270
2020/12/07,17800,18200,17700,18000,▲150,＋0.84%,16508,17770,11343
2020/12/04,17950,18150,17850,17850,▼50,－0.28%,16472,17745,7235
2020/12/03,18000,18000,17750,17900,▲50,＋0.28%,16443,17730,2179
2020/12/02,18000,18000,17650,17850,▲100,＋0.56%,16411,17715,4843
2020/12/01,17750,17900,17550,17750,▲200,＋1.14%,16380,17700,4766
2020/11/30,17850,17900,17500,17550,▼250,－1.40%,16348,17690,6082
2020/11/27,17700,18000,17700,17800,▲100,＋0.56%,16317,17685,10061
2020/11/26,17800,17950,17550,17700,▲100,＋0.57%,16284,17665,3136
2020/11/25,17700,17900,17500,17600,▼100,－0.56%,16251,17655,10472
2020/11/24,18100,18150,17700,17700,▼50,－0.28%,16219,17660,4761
2020/11/23,17850,17850,17700,17750,▲50,＋0.28%,16186,17630,9287
2020/11/20,17750,17800,17600,17700,▼50,－0.28%,16152,17580,4819
2020/11/19,17500,17800,17500,17750,▲50,＋0.28%,16115,17535,4931
2020/11/18,17650,17750,17500,17700,▲50,＋0.28%,16077,17510,5211
2020/11/17,17800,17850,17500,17650,▲150,＋0.86%,16043,17500,8232
2020/11/16,17700,17800,17350,17500,▼100,－0.57%,16008,17455,7286
2020/11/13,17500,17700,17200,17600,0.0,0.00%,15973,17395,4699
2020/11/12,17700,17700,17500,17600,▼50,－0.28%,15939,17285,2090
2020/11/11,17600,17700,17400,17650,▲250,＋1.44%,15908,17205,10896
2020/11/10,17350,17450,17250,17400,▲150,＋0.87%,15874,17140,2291
2020/11/09,17250,17400,17100,17250,0.0,0.00%,15841,17090,3713
2020/11/06,17600,17600,17250,17250,▼250,－1.43%,15810,17070,1080
2020/11/05,17450,17700,17200,17500,▼100,－0.57%,15779,17075,3686
2020/11/04,17200,17700,17100,17600,▲400,＋2.33%,15744,17080,5928
2020/11/03,17000,17400,16950,17200,▲300,＋1.78%,15709,17075,3192
2020/11/02,16500,16900,16250,16900,▲400,＋2.42%,15676,17075,3346
2020/10/30,16800,16900,16500,16500,▼300,－1.79%,15645,17110,3621
2020/10/29,16950,16950,16550,16800,▼200,－1.18%,15618,17130,5047
2020/10/28,16900,17250,16750,17000,▲100,＋0.59%,15590,17150,3515
2020/10/27,17100,17150,16650,16900,▼150,－0.88%,15558,17140,5135
2020/10/26,17650,17650,16950,17050,▼250,－1.45%,15523,17185,5814
2020/10/23,17550,17650,17150,17300,▼250,－1.42%,15487,17235,2952
2020/10/22,17550,17600,17400,17550,0.0,0.00%,15450,17240,3368
2020/10/21,17250,17750,17250,17550,▲350,＋2.03%,15412,17220,7712
2020/10/20,17400,17400,16700,17200,▼50,－0.29%,15367,17195,4629
2020/10/19,16800,17500,16600,17250,▲550,＋3.29%,15323,17185,6108
2020/10/16,17150,17200,16500,16700,▼300,－1.76%,15275,17175,7022
2020/10/15,16950,17400,16500,17000,▲100,＋0.59%,15233,17200,10118
2020/10/14,17350,17550,16900,16900,▼450,－2.59%,15190,17180,6949
2020/10/13,17600,17600,16900,17350,▼200,－1.14%,15148,17130,5179
2020/10/12,17750,17750,16700,17550,▲200,＋1.15%,15102,17115,5412
2020/10/08,17450,17500,17050,17350,0.0,0.00%,15055,17075,4755
2020/10/07,17500,17500,17050,17350,▲50,＋0.29%,15009,17090,3527
2020/10/06,17200,17450,17000,17300,▲200,＋1.17%,14962,17135,4518
2020/10/05,17300,17700,16950,17100,▼50,－0.29%,14916,17165,10107
2020/09/29,16900,17200,16850,17150,▲200,＋1.18%,14870,17210,2382
2020/09/28,16950,17200,16650,16950,▲150,＋0.89%,14823,17270,5826
2020/09/25,16300,17100,16300,16800,▲400,＋2.44%,14777,17365,7684
2020/09/24,17200,17200,16350,16400,▼800,－4.65%,14730,17450,9446
2020/09/23,17350,17500,16500,17200,▲50,＋0.29%,14684,17605,4830
2020/09/22,17500,17700,17150,17150,▼350,－2.00%,14628,17665,5807
2020/09/21,17650,18050,17300,17500,▼300,－1.69%,14573,17775,9221
2020/09/18,17600,18150,17400,17800,▲200,＋1.14%,14514,17815,7267
2020/09/17,17600,18000,17300,17600,▲50,＋0.28%,14452,17790,9023
2020/09/16,17750,18000,16950,17550,▼200,－1.13%,14391,17810,5683
2020/09/15,18000,18000,17550,17750,▼150,－0.84%,14327,17850,5356
2020/09/14,17700,18100,17650,17900,▲250,＋1.42%,14257,17940,5811
2020/09/11,17750,17850,17550,17650,▼300,－1.67%,14182,18050,6340
2020/09/10,17950,18150,17750,17950,▲150,＋0.84%,14117,18205,6606
2020/09/09,18050,18200,17500,17800,▼450,－2.47%,14045,18205,8370
