[일시]대유플러스,시가,고가,저가,종가,대비,대비율,<가격이동평균>120,10,[거래량]
2020/12/24,772,779,765,768,▼4,－0.52%,738,779,164783
2020/12/23,767,785,759,772,▲5,＋0.65%,737,781,993108
2020/12/22,779,782,763,767,▼15,－1.92%,736,783,805698
2020/12/21,788,789,776,782,▼6,－0.76%,735,785,617267
2020/12/18,780,795,778,788,▲9,＋1.16%,733,786,744099
2020/12/17,781,787,775,779,▼1,－0.13%,732,789,541990
2020/12/16,773,790,772,780,▲8,＋1.04%,731,794,498789
2020/12/15,785,785,771,772,▼11,－1.40%,731,802,772963
2020/12/14,795,800,781,783,▼12,－1.51%,730,807,739122
2020/12/11,788,797,787,795,▲7,＋0.89%,729,811,493597
2020/12/10,790,796,784,788,▼9,－1.13%,729,815,502003
2020/12/09,785,798,781,797,▲7,＋0.89%,728,820,883638
2020/12/08,787,802,786,790,▲3,＋0.38%,727,823,746801
2020/12/07,816,818,785,787,▼29,－3.55%,726,828,1857855
2020/12/04,836,836,814,816,▼20,－2.39%,725,831,1633806
2020/12/03,860,863,832,836,▼18,－2.11%,725,831,2253933
2020/12/02,830,861,821,854,▲34,＋4.15%,724,830,3059615
2020/12/01,826,828,818,820,▼6,－0.73%,723,830,750443
2020/11/30,835,838,824,826,▼9,－1.08%,722,832,842975
2020/11/27,840,840,823,835,▼5,－0.60%,721,833,868117
2020/11/26,837,840,815,840,▲10,＋1.20%,720,832,2183678
2020/11/25,840,858,825,830,▼6,－0.72%,719,830,1535767
2020/11/24,820,838,820,836,▲18,＋2.20%,717,829,1221827
2020/11/23,824,824,810,818,▼1,－0.12%,716,829,853661
2020/11/20,820,826,816,819,▼5,－0.61%,715,832,978938
2020/11/19,848,858,820,824,▼24,－2.83%,713,830,1333499
2020/11/18,846,865,835,848,▲4,＋0.47%,712,828,1407796
2020/11/17,841,885,829,844,▲7,＋0.84%,710,821,4459463
2020/11/16,918,919,831,837,▲15,＋1.82%,709,815,7286435
2020/11/13,815,825,813,822,▼2,－0.24%,707,811,1666171
2020/11/12,823,837,821,824,▲2,＋0.24%,706,806,626336
2020/11/11,848,848,816,822,▼12,－1.44%,705,801,1089685
2020/11/10,850,851,827,834,▼12,－1.42%,703,798,898327
2020/11/09,809,848,805,846,▲44,＋5.49%,702,792,1475906
2020/11/06,799,840,796,802,▲5,＋0.63%,701,784,1690809
2020/11/05,786,797,781,797,▲15,＋1.92%,699,783,533980
2020/11/04,787,796,776,782,▼6,－0.76%,698,783,900433
2020/11/03,795,804,781,788,▼6,－0.76%,697,788,762812
2020/11/02,773,795,768,794,▲23,＋2.98%,696,789,433128
2020/10/30,777,779,767,771,▼5,－0.64%,695,791,382517
2020/10/29,788,790,768,776,▼15,－1.90%,695,797,963153
2020/10/28,780,796,775,791,▲20,＋2.59%,694,801,629843
2020/10/27,766,783,753,771,▲5,＋0.65%,693,806,678687
2020/10/26,800,801,764,766,▼29,－3.65%,692,812,966219
2020/10/23,808,820,791,795,▼5,－0.63%,691,818,532417
2020/10/22,827,827,800,800,▼28,－3.38%,689,822,652963
2020/10/21,808,828,793,828,▲32,＋4.02%,688,828,849886
2020/10/20,811,821,777,796,▼17,－2.09%,686,828,1040333
2020/10/19,840,841,811,813,▼21,－2.52%,685,833,799695
2020/10/16,810,838,808,834,▲14,＋1.71%,683,832,1526331
2020/10/15,836,839,803,820,▼12,－1.44%,681,830,1453594
2020/10/14,834,857,827,832,▼2,－0.24%,680,826,1161746
2020/10/13,833,836,820,834,▲8,＋0.97%,678,822,1065034
2020/10/12,847,848,821,826,▼14,－1.67%,677,818,1459223
2020/10/08,861,861,828,840,▼13,－1.52%,675,816,1514336
2020/10/07,830,855,820,853,▲23,＋2.77%,673,816,1473528
2020/10/06,849,853,814,830,▼14,－1.66%,672,818,1810655
2020/10/05,821,862,808,844,▲33,＋4.07%,670,824,2958223
2020/09/29,808,832,802,811,▲4,＋0.50%,669,834,1367205
2020/09/28,782,818,780,807,▲27,＋3.46%,667,854,2346929
2020/09/25,802,813,772,780,▼11,－1.39%,665,876,2547994
2020/09/24,775,810,770,791,▼8,－1.00%,664,878,2502130
2020/09/23,820,831,771,799,▼9,－1.11%,662,882,3518747
2020/09/22,823,845,808,808,▼24,－2.88%,661,866,2985753
2020/09/21,876,889,822,832,▼43,－4.91%,659,849,4091798
2020/09/18,925,931,865,875,▼22,－2.45%,657,828,6882647
2020/09/17,934,1015,892,897,▼45,－4.78%,655,801,14319345
2020/09/16,979,1015,940,942,▼63,－6.27%,652,772,8592254
2020/09/15,1135,1150,942,1005,▼30,－2.90%,649,738,57866479
2020/09/14,821,1035,792,1035,▲238,＋29.86%,645,697,127379215
2020/09/11,912,1010,785,797,▼35,－4.21%,641,653,66235647
2020/09/10,655,832,650,832,▲192,＋30.00%,639,631,10948968
2020/09/09,630,652,624,640,▲5,＋0.79%,636,605,1325524
2020/09/08,650,677,634,635,▲9,＋1.44%,635,600,2938956
2020/09/07,602,662,580,626,▲24,＋3.99%,634,595,8808381
2020/09/04,585,604,585,602,▼2,－0.33%,633,590,165428
2020/09/03,605,610,600,604,▲3,＋0.50%,633,588,191221
2020/09/02,604,605,585,601,▼1,－0.17%,633,584,519135
2020/09/01,593,603,581,602,▲16,＋2.73%,634,583,319116
2020/08/31,588,598,582,586,▲2,＋0.34%,634,581,144286
2020/08/28,575,586,571,584,▲10,＋1.74%,635,583,303151
2020/08/27,587,590,573,574,▼9,－1.54%,637,586,319567
2020/08/26,595,595,580,583,▼5,－0.85%,638,589,279537
2020/08/25,579,590,579,588,▲9,＋1.55%,640,593,346466
2020/08/24,580,581,568,579,▼1,－0.17%,641,597,298459
2020/08/21,565,599,561,580,▲16,＋2.84%,642,601,692406
2020/08/20,585,590,561,564,▼26,－4.41%,643,605,605101
2020/08/19,583,591,571,590,▲7,＋1.20%,645,611,596066
2020/08/18,604,609,560,583,▼20,－3.32%,647,615,887395
2020/08/14,616,617,599,603,▼11,－1.79%,648,620,383129
2020/08/13,605,620,605,614,▲9,＋1.49%,650,623,540433
2020/08/12,624,627,566,605,▼19,－3.04%,651,626,1664219
2020/08/11,629,637,624,624,▼3,－0.48%,653,629,517467
2020/08/10,619,631,613,627,▲9,＋1.46%,654,630,596694
2020/08/07,623,631,618,618,▼5,－0.80%,656,631,529692
2020/08/06,630,631,621,623,▼3,－0.48%,657,633,484591
2020/08/05,628,635,624,626,▼2,－0.32%,658,635,447940
2020/08/04,633,634,625,628,▼5,－0.79%,659,637,488257
2020/08/03,631,647,625,633,▲2,＋0.32%,660,639,375374
2020/07/31,638,643,630,631,▼9,－1.41%,661,640,284643
2020/07/30,645,645,634,640,▲2,＋0.31%,662,640,192679
2020/07/29,635,639,625,638,▲3,＋0.47%,663,639,169275
2020/07/28,635,640,631,635,▼3,－0.47%,663,638,206984
2020/07/27,634,638,620,638,▲3,＋0.47%,664,636,226934
2020/07/24,641,642,633,635,▼9,－1.40%,665,634,173862
2020/07/23,648,648,632,644,▼4,－0.62%,665,631,404863
2020/07/22,641,648,637,648,▲4,＋0.62%,666,629,331176
2020/07/21,644,645,631,644,▲2,＋0.31%,666,626,309705
2020/07/20,645,645,625,642,▲7,＋1.10%,667,624,330642
2020/07/17,639,645,631,635,0.0,0.00%,667,622,258969
2020/07/16,628,643,627,635,▲13,＋2.09%,668,621,588459
2020/07/15,619,634,619,622,▲5,＋0.81%,670,621,854255
2020/07/14,619,620,611,617,▲2,＋0.33%,671,622,608335
2020/07/13,615,628,608,615,▲6,＋0.99%,672,625,535623
2020/07/10,619,622,604,609,▼10,－1.62%,673,628,562950
2020/07/09,621,626,616,619,▼3,－0.48%,675,634,554861
2020/07/08,618,627,618,622,0.0,0.00%,676,639,273136
2020/07/07,628,631,619,622,▼5,－0.80%,677,646,465213
2020/07/06,624,628,619,627,▲4,＋0.64%,678,652,465924
2020/07/03,635,637,622,623,▼10,－1.58%,680,659,660867
2020/07/02,636,642,623,633,▼2,－0.31%,681,668,410418
2020/07/01,651,655,635,635,▼11,－1.70%,682,674,316927
2020/06/30,641,661,640,646,▲6,＋0.94%,683,681,274647
2020/06/29,662,673,632,640,▼30,－4.48%,684,687,950332
2020/06/26,680,680,665,670,▼5,－0.74%,685,690,378598
2020/06/25,682,683,668,675,▼14,－2.03%,686,696,384472
2020/06/24,682,696,668,689,▲12,＋1.77%,686,704,534566
2020/06/23,705,709,676,677,▼28,－3.97%,687,713,1166368
2020/06/22,713,714,700,705,▼4,－0.56%,688,716,446072
2020/06/19,698,710,690,709,▲11,＋1.58%,688,714,464873
2020/06/18,696,701,684,698,0.0,0.00%,689,711,361850
2020/06/17,705,712,681,698,▼7,－0.99%,689,708,527142
2020/06/16,679,720,679,705,▲34,＋5.07%,690,706,499740
2020/06/15,739,740,669,671,▼64,－8.71%,690,703,1561812
2020/06/12,717,740,681,735,▼14,－1.87%,691,702,1635800
2020/06/11,776,783,735,749,▼30,－3.85%,691,694,1901708
2020/06/10,715,830,715,779,▲72,＋10.18%,691,685,6876502
2020/06/09,693,711,685,707,▲17,＋2.46%,691,673,1036529
2020/06/08,687,706,685,690,▲12,＋1.77%,691,669,1363976
2020/06/05,671,680,667,678,▲7,＋1.04%,691,666,318965
2020/06/04,681,685,664,671,▼6,－0.89%,692,665,722522
2020/06/03,674,683,670,677,▲7,＋1.04%,692,665,853099
2020/06/02,665,674,663,670,▲7,＋1.06%,693,664,809791
2020/06/01,660,678,656,663,▲8,＋1.22%,693,664,812214
2020/05/29,666,666,651,655,▼4,－0.61%,694,664,479474
2020/05/28,662,684,652,659,▼3,－0.45%,694,664,1348436
2020/05/27,663,677,660,662,▼1,－0.15%,695,664,1496554
2020/05/26,664,676,660,663,▼1,－0.15%,695,665,595274
2020/05/25,668,673,654,664,0.0,0.00%,696,666,332369
2020/05/22,682,682,662,664,▼12,－1.78%,696,668,208576
2020/05/21,680,686,665,676,▲8,＋1.20%,697,668,469357
2020/05/20,663,671,660,668,▲3,＋0.45%,698,668,208782
2020/05/19,661,666,658,665,▲6,＋0.91%,698,667,194888
2020/05/18,663,669,653,659,▼4,－0.60%,699,665,129336
2020/05/15,665,674,650,663,▲3,＋0.45%,700,664,197950
2020/05/14,668,668,656,660,▼7,－1.05%,701,661,174896
2020/05/13,663,676,661,667,▼6,－0.89%,702,658,166349
2020/05/12,678,691,662,673,▼8,－1.17%,703,653,328280
2020/05/11,675,693,674,681,▲10,＋1.49%,704,649,504099
2020/05/08,671,687,665,671,▲2,＋0.30%,704,643,533262
2020/05/07,660,669,654,669,▲11,＋1.67%,705,640,531363
2020/05/06,656,662,650,658,▲7,＋1.08%,706,638,626842
2020/05/04,649,657,636,651,▲1,＋0.15%,707,637,454572
2020/04/29,633,652,630,650,▲17,＋2.69%,708,635,452905
2020/04/28,626,635,624,633,▲8,＋1.28%,709,634,320834
2020/04/27,618,629,616,625,▲4,＋0.64%,710,633,261657
2020/04/24,630,633,610,621,▼9,－1.43%,711,635,443187
2020/04/23,630,638,624,630,▲4,＋0.64%,713,638,211492
2020/04/22,616,628,610,626,▼6,－0.95%,714,639,289978
2020/04/21,650,653,615,632,▼20,－3.07%,715,639,571277
2020/04/20,646,655,638,652,▲6,＋0.93%,716,637,479663
2020/04/17,639,656,639,646,▲8,＋1.25%,717,632,318458
2020/04/16,640,640,626,638,▲5,＋0.79%,718,628,162527
2020/04/14,626,640,625,633,▲8,＋1.28%,719,625,262279
2020/04/13,643,647,625,625,▼23,－3.55%,720,624,237738
2020/04/10,653,656,635,648,▼5,－0.77%,722,619,433367
2020/04/09,641,666,632,653,▲13,＋2.03%,723,613,542737
2020/04/08,631,650,617,640,▲14,＋2.24%,724,606,380373
2020/04/07,615,633,615,626,▲15,＋2.45%,725,598,244030
2020/04/06,601,611,600,611,▲10,＋1.66%,727,590,259048
2020/04/03,607,611,589,601,▼4,－0.66%,728,582,267238
2020/04/02,610,610,595,605,▼5,－0.82%,730,575,120383
2020/04/01,610,623,597,610,▼6,－0.97%,731,567,455977
2020/03/31,584,624,584,616,▲33,＋5.66%,733,559,234480
2020/03/30,565,592,557,583,▲2,＋0.34%,735,550,272244
2020/03/27,588,621,581,581,▼1,－0.17%,737,543,364926
2020/03/26,567,591,559,582,▲16,＋2.83%,739,542,353414
2020/03/25,550,569,550,566,▲21,＋3.85%,741,545,403615
2020/03/24,532,545,523,545,▲17,＋3.22%,743,555,319787
2020/03/23,490,530,490,528,▼1,－0.19%,746,570,404593
2020/03/20,480,529,480,529,▲2,＋0.38%,748,588,330091
2020/03/19,509,528,468,527,▼1,－0.19%,751,609,1030871
2020/03/18,527,540,499,528,0.0,0.00%,754,632,503434
2020/03/17,491,530,490,528,▲8,＋1.54%,757,654,811483
2020/03/16,568,580,510,520,▼48,－8.45%,760,675,1293288
2020/03/13,523,570,490,568,▼39,－6.43%,762,696,852194
2020/03/12,657,670,592,607,▼63,－9.40%,765,713,1124655
2020/03/11,701,708,660,670,▼29,－4.15%,767,730,536956
2020/03/10,690,702,685,699,▼5,－0.71%,769,741,242864
2020/03/09,730,731,690,704,▼36,－4.86%,770,748,275620
2020/03/06,748,756,736,740,▼13,－1.73%,771,752,164303
2020/03/05,752,760,750,753,▲3,＋0.40%,772,757,145198
2020/03/04,735,750,727,750,▲15,＋2.04%,773,763,94559
2020/03/03,731,755,731,735,▼1,－0.14%,774,769,417489
2020/03/02,712,753,711,736,▲3,＋0.41%,775,774,256727
2020/02/28,770,770,725,733,▼43,－5.54%,776,778,426844
2020/02/27,789,789,759,776,▼4,－0.51%,776,782,313454
2020/02/26,773,783,757,780,▲12,＋1.56%,777,781,212871
2020/02/25,740,774,740,768,▲15,＋1.99%,777,777,251953
2020/02/24,769,784,748,753,▼36,－4.56%,778,774,354582
2020/02/21,806,811,789,789,▼17,－2.11%,778,772,337635
2020/02/20,811,820,795,806,▼4,－0.49%,778,766,597560
2020/02/19,790,821,780,810,▲24,＋3.05%,778,758,910348
2020/02/18,784,809,778,786,▲6,＋0.77%,779,748,1125742
2020/02/17,772,780,770,780,▲6,＋0.78%,779,741,182562
2020/02/14,763,775,759,774,▲11,＋1.44%,780,731,227269
2020/02/13,743,769,743,763,▲22,＋2.97%,780,724,531012
2020/02/12,745,747,735,741,▲1,＋0.14%,781,719,92805
2020/02/11,737,746,732,740,▲8,＋1.09%,782,718,92688
2020/02/10,730,740,722,732,▲2,＋0.27%,782,715,55130
2020/02/07,733,765,728,730,▲7,＋0.97%,783,718,414411
2020/02/06,716,737,716,723,▲8,＋1.12%,784,721,108631
2020/02/05,724,724,710,715,▲3,＋0.42%,784,724,90895
2020/02/04,682,716,682,712,▲31,＋4.55%,784,728,130394
2020/02/03,700,700,679,681,▼19,－2.71%,784,735,286369
2020/01/31,713,718,689,700,▼13,－1.82%,784,744,181535
2020/01/30,736,738,709,713,▼16,－2.19%,785,752,140476
2020/01/29,730,734,722,729,▲12,＋1.67%,785,760,112509
2020/01/28,746,746,715,717,▼41,－5.41%,786,763,344250
2020/01/23,760,768,755,758,0.0,0.00%,787,768,114577
2020/01/22,758,758,746,758,▲5,＋0.66%,787,768,115110
