[일시]대한제당우,시가,고가,저가,종가,대비,대비율,<가격이동평균>10,[거래량]
2020/11/30,14550,14550,14250,14450,▲50,＋0.35%,14495,1349
2020/11/27,14350,14500,14300,14400,▼50,－0.35%,14440,1405
2020/11/26,14500,14500,14300,14450,▲50,＋0.35%,14390,2893
2020/11/25,14500,14500,14300,14400,▼100,－0.69%,14350,2107
2020/11/24,14650,14650,14400,14500,▼150,－1.02%,14315,2616
2020/11/23,14700,14700,14500,14650,▲50,＋0.34%,14275,922
2020/11/20,14500,14750,14500,14600,▲50,＋0.34%,14200,1049
2020/11/19,14500,14550,14400,14550,▲50,＋0.34%,14120,4065
2020/11/18,14450,14550,14350,14500,▲50,＋0.35%,14030,10426
2020/11/17,14100,14450,14000,14450,▲550,＋3.96%,13945,7432
2020/11/16,14050,14050,13850,13900,0.0,0.00%,13855,1994
2020/11/13,14050,14050,13850,13900,▼150,－1.07%,13820,2319
2020/11/12,14050,14100,13900,14050,0.0,0.00%,13765,1896
2020/11/11,14100,14100,14000,14050,▼50,－0.35%,13705,1944
2020/11/10,13900,14150,13850,14100,▲200,＋1.44%,13655,3666
2020/11/09,13800,13950,13800,13900,▲100,＋0.72%,13590,2460
2020/11/06,13700,13800,13700,13800,▲150,＋1.10%,13565,2216
2020/11/05,13750,13750,13600,13650,0.0,0.00%,13570,1260
2020/11/04,13500,13700,13500,13650,▲100,＋0.74%,13585,2007
2020/11/03,13600,13600,13450,13550,0.0,0.00%,13595,2510
2020/11/02,13450,13550,13300,13550,▲200,＋1.50%,13590,1082
2020/10/30,13600,13650,13350,13350,▼100,－0.74%,13575,2725
2020/10/29,13500,13500,13350,13450,▼100,－0.74%,13590,1588
2020/10/28,13600,13600,13400,13550,▲100,＋0.74%,13615,1736
2020/10/27,13650,13750,13250,13450,▼200,－1.47%,13620,1992
2020/10/26,13850,13900,13500,13650,▼200,－1.44%,13620,2405
2020/10/23,13800,13850,13600,13850,▲50,＋0.36%,13605,2351
2020/10/22,13800,13900,13600,13800,▲50,＋0.36%,13555,5926
2020/10/21,13700,13800,13600,13750,▲250,＋1.85%,13495,2382
2020/10/20,13300,13500,13300,13500,▲100,＋0.75%,13450,660
2020/10/19,13650,13650,13350,13400,▼100,－0.74%,13420,2817
2020/10/16,13800,13800,13500,13500,▼200,－1.46%,13410,1063
2020/10/15,13700,13800,13500,13700,▲100,＋0.74%,13405,3093
2020/10/14,13500,13600,13450,13600,▲150,＋1.12%,13355,2230
2020/10/13,13350,13450,13250,13450,▼50,－0.37%,13335,1700
2020/10/12,13700,13750,13500,13500,▲150,＋1.12%,13320,3379
2020/10/08,13200,13350,13200,13350,▲150,＋1.14%,13300,1062
2020/10/07,13300,13450,13200,13200,▼100,－0.75%,13345,4585
2020/10/06,13200,13350,13200,13300,▲100,＋0.76%,13435,648
2020/10/05,13300,13300,13150,13200,▼100,－0.75%,13465,1700
2020/09/29,13400,13400,13150,13300,▼150,－1.12%,13515,2601
2020/09/28,13200,13550,13200,13450,▲250,＋1.89%,13570,326
2020/09/25,13550,13550,13150,13200,▼200,－1.49%,13610,1616
2020/09/24,13200,13400,13000,13400,▲100,＋0.75%,13650,3259
2020/09/23,13300,13400,13050,13300,0.0,0.00%,13670,3160
2020/09/22,13600,13650,13000,13300,▼500,－3.62%,13705,9950
2020/09/21,14050,14100,13800,13800,▼300,－2.13%,13750,4428
2020/09/18,13850,14300,13850,14100,▲500,＋3.68%,13760,18436
2020/09/17,13700,13700,13550,13600,▼100,－0.73%,13740,5743
2020/09/16,13700,13750,13550,13700,▼150,－1.08%,13775,6935
2020/09/15,14000,14000,13800,13850,0.0,0.00%,13785,1496
2020/09/14,13600,13900,13600,13850,▲250,＋1.84%,13800,5718
2020/09/11,13600,13800,13500,13600,0.0,0.00%,13805,2381
2020/09/10,13600,13800,13600,13600,▼50,－0.37%,13820,3009
2020/09/09,13700,13800,13650,13650,▼100,－0.73%,13815,2358
2020/09/08,13800,13800,13700,13750,▼150,－1.08%,13815,1299
2020/09/07,13700,13900,13650,13900,0.0,0.00%,13800,1421
2020/09/04,13900,13950,13800,13900,▼50,－0.36%,13770,381
2020/09/03,13800,14000,13800,13950,▲150,＋1.09%,13770,1378
2020/09/02,14000,14000,13600,13800,▼200,－1.43%,13775,1311
2020/09/01,14000,14000,13700,14000,▲100,＋0.72%,13800,800
2020/08/31,13750,14000,13750,13900,▲150,＋1.09%,13800,1568
2020/08/28,13650,13900,13550,13750,▲200,＋1.48%,13810,1161
2020/08/27,13650,13800,13400,13550,▼100,－0.73%,13845,1240
2020/08/26,13500,13650,13450,13650,▲50,＋0.37%,13905,4532
2020/08/25,13750,13750,13400,13600,0.0,0.00%,13980,460
2020/08/24,13900,13900,13550,13600,▼300,－2.16%,14070,3558
2020/08/21,14000,14000,13600,13900,▼100,－0.71%,14200,4217
2020/08/20,14100,14100,13700,14000,▼50,－0.36%,14310,1459
2020/08/19,14000,14200,13850,14050,▲50,＋0.36%,14345,687
2020/08/18,14000,14100,13700,14000,0.0,0.00%,14370,2284
2020/08/14,14100,14100,13900,14000,▼100,－0.71%,14420,10948
2020/08/13,13950,14200,13900,14100,▼50,－0.35%,14480,1694
2020/08/12,14400,14400,13950,14150,▼250,－1.74%,14535,3654
2020/08/11,14500,14500,14200,14400,▼100,－0.69%,14590,2272
2020/08/10,14600,14850,14300,14500,▼400,－2.68%,14605,3032
2020/08/07,15100,15100,14450,14900,▼100,－0.67%,14625,2151
2020/08/06,15200,15200,14600,15000,▲650,＋4.53%,14570,11586
2020/08/05,14500,14500,14050,14350,▲50,＋0.35%,14460,774
2020/08/04,14500,14550,14250,14300,▼200,－1.38%,14390,562
2020/08/03,14850,14850,14250,14500,▼100,－0.68%,14305,2450
2020/07/31,14300,14650,14250,14600,▼50,－0.34%,14175,2931
2020/07/30,14800,14800,14250,14650,▼50,－0.34%,14035,1815
2020/07/29,14550,14700,14150,14700,▲150,＋1.03%,13885,2279
2020/07/28,15100,15100,14200,14550,▼150,－1.02%,13725,5463
2020/07/27,14950,15000,14500,14700,▲350,＋2.44%,13620,17408
2020/07/24,14300,14500,14100,14350,▲450,＋3.24%,13505,11564
2020/07/23,13700,13900,13700,13900,▲250,＋1.83%,13445,10637
2020/07/22,13600,13650,13400,13650,▲200,＋1.49%,13440,1440
2020/07/21,13350,13500,13250,13450,▲250,＋1.89%,13435,3040
2020/07/20,13200,13200,13150,13200,0.0,0.00%,13440,688
2020/07/17,13150,13200,13050,13200,▲50,＋0.38%,13475,414
2020/07/16,13100,13200,13000,13150,▲50,＋0.38%,13485,465
2020/07/15,13450,13450,13000,13100,▼400,－2.96%,13560,9294
2020/07/14,13550,13650,13200,13500,▼50,－0.37%,13645,1621
2020/07/13,13400,13600,13300,13550,▼200,－1.45%,13670,1138
2020/07/10,13900,13900,13350,13750,▼100,－0.72%,13675,1473
2020/07/09,13500,13900,13500,13850,▲250,＋1.84%,13680,4393
2020/07/08,13500,13600,13400,13600,▲100,＋0.74%,13655,1563
2020/07/07,13600,13600,13350,13500,▼50,－0.37%,13655,259
2020/07/06,13300,13550,13300,13550,▲250,＋1.88%,13615,3582
2020/07/03,13900,13900,13300,13300,▼600,－4.32%,13600,3566
2020/07/02,14150,14150,13850,13900,▼50,－0.36%,13680,449
2020/07/01,14100,14100,13750,13950,▲200,＋1.45%,13780,2958
2020/06/30,13600,13950,13400,13750,▲150,＋1.10%,13825,4125
2020/06/29,13900,13900,13600,13600,▼200,－1.45%,13790,4270
2020/06/26,14200,14200,13700,13800,▲200,＋1.47%,13720,4041
2020/06/25,13200,13750,13200,13600,0.0,0.00%,13655,1874
2020/06/24,12900,13700,12900,13600,▲500,＋3.82%,13615,3639
2020/06/23,13500,13500,12900,13100,▼300,－2.24%,13595,4248
2020/06/22,14200,14200,13200,13400,▼700,－4.96%,13610,8854
2020/06/19,15600,15600,13550,14100,▼800,－5.37%,13540,32713
2020/06/18,14500,15300,14500,14900,▲500,＋3.47%,13360,34343
2020/06/17,13400,14400,13400,14400,▲1000,＋7.46%,13120,31440
2020/06/16,13000,13500,12900,13400,▲500,＋3.88%,12925,1325
2020/06/15,13650,13650,12900,12900,▼250,－1.90%,12815,9108
2020/06/12,12850,13150,12600,13150,▼50,－0.38%,12775,7621
2020/06/11,13600,13900,13200,13200,▼200,－1.49%,12685,18096
2020/06/10,13250,13500,12900,13400,▲150,＋1.13%,12570,4094
2020/06/09,12950,13450,12800,13250,▲550,＋4.33%,12465,13597
2020/06/08,12500,12750,12400,12700,▲400,＋3.25%,12385,6105
2020/06/05,12500,12550,12300,12300,▼200,－1.60%,12355,380
2020/06/04,12450,12550,12350,12500,▲50,＋0.40%,12380,2444
2020/06/03,12400,12550,12300,12450,▲150,＋1.22%,12385,1900
2020/06/02,12500,12550,12300,12300,▼200,－1.60%,12390,1714
2020/06/01,12400,12600,12300,12500,▲250,＋2.04%,12395,839
2020/05/29,12300,12350,12150,12250,▲200,＋1.66%,12375,758
2020/05/28,12450,12450,12050,12050,▼300,－2.43%,12390,919
2020/05/27,12250,12400,12250,12350,▼100,－0.80%,12410,101
2020/05/26,12400,12500,12250,12450,▲50,＋0.40%,12400,212
2020/05/25,12300,12500,12300,12400,▼150,－1.20%,12375,454
2020/05/22,12450,12550,12400,12550,0.0,0.00%,12385,4226
2020/05/21,12500,12550,12300,12550,▲50,＋0.40%,12385,67
2020/05/20,12450,12500,12350,12500,▲150,＋1.21%,12385,2437
2020/05/19,12100,12450,12100,12350,▲50,＋0.41%,12365,549
2020/05/18,12200,12400,12200,12300,▼100,－0.81%,12335,1230
2020/05/15,12400,12400,12300,12400,▲150,＋1.22%,12320,459
2020/05/14,12350,12350,12050,12250,0.0,0.00%,12275,1235
2020/05/13,12050,12300,12050,12250,▲50,＋0.41%,12235,101
2020/05/12,12500,12500,12100,12200,▼300,－2.40%,12165,1370
2020/05/11,12550,12600,12400,12500,▼50,－0.40%,12115,621
2020/05/08,12750,12750,12400,12550,0.0,0.00%,12010,1645
2020/05/07,12300,12700,12300,12550,▲250,＋2.03%,11895,1567
2020/05/06,12000,12300,12000,12300,▲250,＋2.07%,11800,1320
2020/05/04,12250,12250,11900,12050,▼100,－0.82%,11725,170
2020/04/29,11950,12250,11950,12150,▲200,＋1.67%,11660,328
2020/04/28,11950,11950,11800,11950,▲100,＋0.84%,11600,491
2020/04/27,11550,11950,11550,11850,▲300,＋2.60%,11535,370
2020/04/24,11800,11800,11400,11550,▼150,－1.28%,11500,1329
2020/04/23,11500,11700,11500,11700,▲250,＋2.18%,11490,786
2020/04/22,11400,11600,11350,11450,▲50,＋0.44%,11490,684
2020/04/21,11600,11600,11350,11400,▼200,－1.72%,11490,634
2020/04/20,11650,11650,11600,11600,▲50,＋0.43%,11495,337
2020/04/17,11700,11700,11500,11550,▲150,＋1.32%,11415,355
2020/04/16,11550,11550,11250,11400,▼150,－1.30%,11315,384
2020/04/14,11500,11600,11200,11550,▲250,＋2.21%,11245,132
2020/04/13,11400,11500,11250,11300,▼200,－1.74%,11145,1039
2020/04/10,11400,11500,11400,11500,▲50,＋0.44%,11015,2873
2020/04/09,11700,11700,11400,11450,▼250,－2.14%,10864,1043
2020/04/08,11400,11800,11400,11700,▲250,＋2.18%,10703,272
2020/04/07,11350,11450,11350,11450,0.0,0.00%,10503,1635
