[일시]동양우,시가,고가,저가,종가,대비,대비율,<가격이동평균>10,[거래량]
2020/11/30,7790,7790,7750,7750,▼40,－0.51%,7865,4730
2020/11/27,7790,7850,7750,7790,0.0,0.00%,7896,9317
2020/11/26,7860,7860,7750,7790,▼90,－1.14%,7922,6477
2020/11/25,7940,7940,7800,7880,▼60,－0.76%,7948,2767
2020/11/24,7850,8000,7790,7940,▲90,＋1.15%,7967,1933
2020/11/23,7840,7850,7720,7850,▲10,＋0.13%,7977,2475
2020/11/20,7830,7890,7810,7840,▼60,－0.76%,8004,5254
2020/11/19,7930,7930,7860,7900,▼50,－0.63%,8026,5450
2020/11/18,7960,8020,7900,7950,▼10,－0.13%,8038,14344
2020/11/17,7990,8000,7910,7960,▼100,－1.24%,8048,7144
2020/11/16,8060,8070,7960,8060,▲10,＋0.12%,8052,6380
2020/11/13,8100,8100,8040,8050,0.0,0.00%,8046,5025
2020/11/12,8100,8100,8050,8050,▼20,－0.25%,8049,6556
2020/11/11,8040,8140,8000,8070,▲30,＋0.37%,8051,9100
2020/11/10,8170,8170,7950,8040,▼80,－0.99%,8071,8723
2020/11/09,7930,8230,7930,8120,▲60,＋0.74%,8102,6983
2020/11/06,8020,8060,8000,8060,▲40,＋0.50%,8125,6458
2020/11/05,8050,8050,7980,8020,▼30,－0.37%,8130,16994
2020/11/04,8100,8120,8030,8050,▲50,＋0.63%,8147,9982
2020/11/03,8000,8160,7930,8000,0.0,0.00%,8127,22166
2020/11/02,7980,8070,7900,8000,▼80,－0.99%,8082,17695
2020/10/30,8000,8310,8000,8080,▲10,＋0.12%,8040,15997
2020/10/29,8030,8100,8010,8070,▼200,－2.42%,8015,20131
2020/10/28,8270,8290,8200,8270,▼80,－0.96%,8040,18344
2020/10/27,8150,8490,8140,8350,0.0,0.00%,7952,28191
2020/10/26,8070,8580,8070,8350,▲240,＋2.96%,7854,29071
2020/10/23,8390,8390,8020,8110,▼80,－0.98%,7736,45739
2020/10/22,7860,8900,7860,8190,▲340,＋4.33%,7660,101880
2020/10/21,7550,8040,7550,7850,▲300,＋3.97%,7564,62825
2020/10/20,7520,7990,7510,7550,▼30,－0.40%,7503,29790
2020/10/19,7700,7700,7500,7580,▼250,－3.19%,7463,47656
2020/10/16,9650,9990,7720,7830,▼490,－5.89%,7434,299361
2020/10/15,7590,8340,7590,8320,▲930,＋12.58%,7394,247014
2020/10/14,7390,7450,7300,7390,▲20,＋0.27%,7303,24509
2020/10/13,7210,7370,7170,7370,▲200,＋2.79%,7300,11233
2020/10/12,7260,7330,7130,7170,▼180,－2.45%,7344,13918
2020/10/08,7230,7390,7210,7350,▲120,＋1.66%,7427,11056
2020/10/07,7200,7230,7120,7230,▼10,－0.14%,7597,3031
2020/10/06,7230,7270,7080,7240,▲90,＋1.26%,7596,15468
2020/10/05,7300,7300,7150,7150,▼140,－1.92%,7586,31310
2020/09/29,7350,7540,7290,7290,▼140,－1.88%,7614,26148
2020/09/28,7340,7540,7320,7430,▲20,＋0.27%,7579,33981
2020/09/25,7320,7790,7280,7410,▲50,＋0.68%,7584,46861
2020/09/24,7450,7540,7230,7360,▼450,－5.76%,7537,50775
2020/09/23,8390,8470,7670,7810,▼190,－2.38%,7490,84226
2020/09/22,8550,8550,7750,8000,▼1050,－11.60%,7392,174824
2020/09/21,7400,9380,7330,9050,▲1830,＋25.35%,7292,470308
2020/09/18,8040,8600,7220,7220,▲80,＋1.12%,7083,194938
2020/09/17,7300,7300,7120,7140,▼290,－3.90%,7052,23794
2020/09/16,6980,7430,6870,7430,▲490,＋7.06%,7025,41641
2020/09/15,7160,7160,6880,6940,▼540,－7.22%,6974,91943
2020/09/14,7000,8570,7000,7480,▲540,＋7.78%,6962,206491
2020/09/11,6820,7130,6810,6940,▲50,＋0.73%,6901,14588
2020/09/10,6840,6890,6750,6890,▲60,＋0.88%,6888,5276
2020/09/09,6990,6990,6820,6830,▼170,－2.43%,6884,1293
2020/09/08,6970,7090,6890,7000,▲40,＋0.57%,6893,6331
2020/09/07,6910,6980,6910,6960,▲50,＋0.72%,6873,2222
2020/09/04,6750,6960,6690,6910,▲40,＋0.58%,6846,788
2020/09/03,6820,6920,6810,6870,▼50,－0.72%,6827,1302
2020/09/02,6950,6950,6750,6920,▲100,＋1.47%,6807,1094
2020/09/01,6750,6830,6750,6820,▼50,－0.73%,6802,1122
2020/08/31,6850,6910,6850,6870,▲60,＋0.88%,6794,797
2020/08/28,6730,6840,6730,6810,▼40,－0.58%,6802,2224
2020/08/27,6910,6910,6760,6850,▼70,－1.01%,6810,4534
2020/08/26,6800,6940,6800,6920,▲120,＋1.76%,6832,684
2020/08/25,6730,6810,6730,6800,▲110,＋1.64%,6839,142
2020/08/24,6670,6690,6670,6690,▼30,－0.45%,6849,199
2020/08/21,6780,6780,6690,6720,▲50,＋0.75%,6861,919
2020/08/20,6780,6780,6630,6670,▼200,－2.91%,6883,16567
2020/08/19,6750,6870,6750,6870,▲130,＋1.93%,6910,4749
2020/08/18,7000,7000,6740,6740,▼210,－3.02%,6923,12637
2020/08/14,7030,7030,6800,6950,▲60,＋0.87%,6930,14066
2020/08/13,7220,7220,6860,6890,▼180,－2.55%,6931,3077
2020/08/12,6840,7090,6810,7070,▲80,＋1.14%,6942,18457
2020/08/11,7000,7000,6840,6990,▲90,＋1.30%,6941,10488
2020/08/10,6790,7020,6750,6900,▲90,＋1.32%,7022,6831
2020/08/07,6930,6940,6810,6810,▼130,－1.87%,7075,24907
2020/08/06,6900,6940,6890,6940,0.0,0.00%,7173,10614
2020/08/05,6900,7200,6870,6940,▼60,－0.86%,7116,7064
2020/08/04,6850,7190,6850,7000,▲190,＋2.79%,7047,13947
2020/08/03,6910,6960,6810,6810,▼150,－2.16%,6954,6288
2020/07/31,7000,7000,6770,6960,▼40,－0.57%,6870,7616
2020/07/30,7010,7230,6930,7000,▼60,－0.85%,6776,11438
2020/07/29,7320,7910,6960,7060,▼740,－9.49%,6677,98033
2020/07/28,6920,8500,6920,7800,▲370,＋4.98%,6576,116792
2020/07/27,7440,7440,6710,7430,▼360,－4.62%,6401,61335
2020/07/24,6500,8240,6490,7790,▲1420,＋22.29%,6261,209815
2020/07/23,6480,6480,6260,6370,▲120,＋1.92%,6116,11186
2020/07/22,6040,6250,6040,6250,▲180,＋2.97%,6147,8963
2020/07/21,6000,6070,5970,6070,▲100,＋1.68%,6151,4536
2020/07/20,6020,6020,5960,5970,▼50,－0.83%,6149,4988
2020/07/17,6010,6030,6000,6020,▲10,＋0.17%,6152,3019
2020/07/16,5960,6060,5960,6010,▼40,－0.66%,6140,12259
2020/07/15,6270,6270,6050,6050,0.0,0.00%,6145,35872
2020/07/14,6030,6050,6000,6050,▲20,＋0.33%,6145,13088
2020/07/13,6290,6290,6000,6030,▼310,－4.89%,6123,24617
2020/07/10,6670,6690,6310,6340,▼340,－5.09%,6098,41489
2020/07/09,6290,6680,6290,6680,▲390,＋6.20%,6048,38689
2020/07/08,6000,6320,6000,6290,▲240,＋3.97%,5970,13257
2020/07/07,6030,6090,5960,6050,▲50,＋0.83%,5940,6499
2020/07/06,5950,6000,5890,6000,▲100,＋1.69%,5910,16277
