[일시]미래테크놀로지,시가,고가,저가,종가,대비,대비율,<가격이동평균>120,10,[거래량]
2020/12/24,8000,8110,8000,8060,▲80,＋1.00%,8081,7969,8029
2020/12/23,7970,8100,7910,7980,▲10,＋0.13%,8080,7963,2296
2020/12/22,7960,8030,7890,7970,▲10,＋0.13%,8081,7952,1380
2020/12/21,7980,8000,7910,7960,▼20,－0.25%,8082,7931,1647
2020/12/18,7890,7990,7860,7980,▲90,＋1.14%,8081,7921,1424
2020/12/17,8120,8120,7890,7890,▼140,－1.74%,8082,7912,3537
2020/12/16,7970,8050,7800,8030,▲230,＋2.95%,8083,7911,5163
2020/12/15,8050,8090,7800,7800,▼250,－3.11%,8082,7897,1914
2020/12/14,8120,8120,7980,8050,▲80,＋1.00%,8084,7907,2316
2020/12/11,8000,8000,7910,7970,▼30,－0.38%,8083,7886,1354
2020/12/10,7870,8010,7870,8000,▲130,＋1.65%,8081,7876,1061
2020/12/09,7760,7880,7760,7870,▲110,＋1.42%,8079,7862,2315
2020/12/08,7860,7860,7760,7760,▼100,－1.27%,8077,7875,1953
2020/12/07,7770,7890,7770,7860,▼30,－0.38%,8076,7901,2487
2020/12/04,7880,7890,7800,7890,▲10,＋0.13%,8072,7915,2084
2020/12/03,7890,7890,7810,7880,▼10,－0.13%,8072,7924,821
2020/12/02,7900,7980,7820,7890,▼10,－0.13%,8073,7937,1490
2020/12/01,7870,7940,7760,7900,▲60,＋0.77%,8076,7939,2366
2020/11/30,7790,7870,7790,7840,▼30,－0.38%,8078,7949,2218
2020/11/27,7860,7970,7820,7870,▲10,＋0.13%,8082,7962,1748
2020/11/26,7950,8050,7850,7860,▼140,－1.75%,8086,7975,4652
2020/11/25,8020,8150,7990,8000,▼20,－0.25%,8090,7997,3066
2020/11/24,8000,8060,7910,8020,▲20,＋0.25%,8092,7997,1813
2020/11/23,8180,8180,7910,8000,▲20,＋0.25%,8094,7995,3098
2020/11/20,8010,8110,7960,7980,▼30,－0.37%,8097,7997,1679
2020/11/19,7910,8010,7910,8010,▲100,＋1.26%,8101,8001,1471
2020/11/18,7960,8040,7900,7910,▼90,－1.13%,8104,8006,3794
2020/11/17,7950,8020,7900,8000,▲30,＋0.38%,8108,8023,643
2020/11/16,8010,8040,7890,7970,▼30,－0.38%,8110,8016,3583
2020/11/13,8290,8290,7910,8000,▼80,－0.99%,8114,7999,8191
2020/11/12,8010,8180,8000,8080,▲80,＋1.00%,8119,7965,1412
2020/11/11,8000,8120,7960,8000,0.0,0.00%,8123,7942,3336
2020/11/10,8050,8070,7970,8000,▼20,－0.25%,8127,7916,3997
2020/11/09,8020,8020,7910,8020,0.0,0.00%,8129,7885,3482
2020/11/06,8060,8060,7950,8020,▼40,－0.50%,8132,7870,2734
2020/11/05,8080,8090,7920,8060,▼20,－0.25%,8132,7865,4274
2020/11/04,7860,8090,7850,8080,▲150,＋1.89%,8134,7858,5421
2020/11/03,7800,7950,7800,7930,▲130,＋1.67%,8138,7851,363
2020/11/02,7660,7810,7620,7800,▲140,＋1.83%,8141,7858,6805
2020/10/30,7930,7930,7620,7660,▼190,－2.42%,8146,7888,6511
2020/10/29,7810,8080,7770,7850,▲110,＋1.42%,8150,7922,4579
2020/10/28,7680,8090,7570,7740,▲50,＋0.65%,8153,7950,2119
2020/10/27,7710,7870,7670,7690,▼180,－2.29%,8150,7983,2756
2020/10/26,8190,8190,7850,7870,▼100,－1.25%,8149,8015,1305
2020/10/23,7940,8130,7930,7970,▼20,－0.25%,8144,8035,752
2020/10/22,7930,8070,7930,7990,▼20,－0.25%,8137,8043,1607
2020/10/21,8110,8110,7960,8010,▲10,＋0.13%,8130,8038,3323
2020/10/20,8020,8200,7950,8000,▼100,－1.23%,8122,8036,2913
2020/10/19,8050,8300,8010,8100,▲100,＋1.25%,8115,8055,2538
2020/10/16,8130,8130,8000,8000,▼130,－1.60%,8107,8060,1484
2020/10/15,8120,8170,8070,8130,▲60,＋0.74%,8100,8066,1469
2020/10/14,8010,8180,7970,8070,▲60,＋0.75%,8093,8060,3898
2020/10/13,8310,8310,7960,8010,▼60,－0.74%,8084,8053,4052
2020/10/12,8120,8190,8000,8070,▲20,＋0.25%,8076,8070,5831
2020/10/08,8000,8070,7950,8050,▲110,＋1.39%,8066,8058,2640
2020/10/07,7990,8190,7870,7940,▼50,－0.63%,8055,8068,5263
2020/10/06,8190,8400,7990,7990,▼200,－2.44%,8046,8097,5447
2020/10/05,8150,8210,8060,8190,▲40,＋0.49%,8037,8147,1004
2020/09/29,8060,8460,8060,8150,▲90,＋1.12%,8027,8168,1910
2020/09/28,8160,8160,7970,8060,▼10,－0.12%,8015,8183,619
2020/09/25,8000,8090,7990,8070,▲70,＋0.88%,8003,8229,1504
2020/09/24,8180,8180,7880,8000,▼180,－2.20%,7988,8262,4936
2020/09/23,7950,8450,7950,8180,▲230,＋2.89%,7973,8295,3474
2020/09/22,8150,8150,7900,7950,▼200,－2.45%,7957,8300,9732
2020/09/21,8210,8390,8150,8150,▼80,－0.97%,7943,8367,3367
2020/09/18,8490,8640,8040,8230,▼260,－3.06%,7926,8409,4368
2020/09/17,8650,8670,8340,8490,▲90,＋1.07%,7908,8422,7627
2020/09/16,8290,8450,8100,8400,▲100,＋1.20%,7888,8411,12339
2020/09/15,8530,8560,8100,8300,▼220,－2.58%,7868,8386,13808
2020/09/14,8600,8600,8430,8520,▲120,＋1.43%,7846,8356,1350
