[일시]삼양홀딩스,시가,고가,저가,종가,대비,대비율,<가격이동평균>120,10,[거래량]
2020/12/24,74500,74900,73600,74900,▲400,＋0.54%,66354,70740,16454
2020/12/23,73000,76200,73000,74500,▲1600,＋2.19%,66200,69870,41154
2020/12/22,75400,75400,72700,72900,▼2600,－3.44%,66049,68980,30629
2020/12/21,69400,75800,69300,75500,▲6300,＋9.10%,65917,68190,63756
2020/12/18,68400,69500,68200,69200,▲600,＋0.87%,65753,67190,19643
2020/12/17,68200,68900,68000,68600,0.0,0.00%,65636,66850,9671
2020/12/16,68000,69000,67800,68600,▲900,＋1.33%,65525,66540,16433
2020/12/15,67900,67900,67200,67700,▼200,－0.29%,65428,66290,17999
2020/12/14,68000,68000,67000,67900,▲300,＋0.44%,65336,66200,29609
2020/12/11,67000,67600,66200,67600,▲1400,＋2.11%,65248,66160,24491
2020/12/10,65900,66900,64900,66200,▲600,＋0.91%,65168,65960,28664
2020/12/09,65000,65800,63700,65600,▲600,＋0.92%,65103,65860,13970
2020/12/08,65500,65700,64600,65000,▼500,－0.76%,65055,65800,9567
2020/12/07,65200,65900,64800,65500,▼300,－0.46%,65015,65950,19823
2020/12/04,65600,66000,64900,65800,▲300,＋0.46%,64932,66120,22110
2020/12/03,66200,66300,65300,65500,▼600,－0.91%,64867,66320,14349
2020/12/02,66700,67100,65700,66100,▼700,－1.05%,64818,66570,21750
2020/12/01,67500,67500,66500,66800,▼700,－1.04%,64792,66740,13829
2020/11/30,65800,67500,65500,67500,▲1900,＋2.90%,64727,66670,30061
2020/11/27,65000,65900,64800,65600,▲400,＋0.61%,64653,66520,13332
2020/11/26,65000,66000,64600,65200,▲200,＋0.31%,64599,66500,17840
2020/11/25,66300,67100,64700,65000,▼1500,－2.26%,64540,66480,25520
2020/11/24,67200,67800,65800,66500,▼700,－1.04%,64489,66410,12763
2020/11/23,68300,68500,66900,67200,▼600,－0.88%,64420,66190,12856
2020/11/20,67500,68500,67500,67800,▼200,－0.29%,64343,65890,7549
2020/11/19,67600,68400,67300,68000,▲200,＋0.29%,64260,65420,11040
2020/11/18,66100,68600,65500,67800,▲1700,＋2.57%,64186,65010,25742
2020/11/17,67200,67200,66000,66100,▲100,＋0.15%,64125,64510,13549
2020/11/16,64700,66300,64600,66000,▲600,＋0.92%,64058,64180,11166
2020/11/13,64500,65400,64100,65400,▲400,＋0.62%,63973,63800,10765
2020/11/12,64300,65500,64100,65000,▲700,＋1.09%,63892,63460,17545
2020/11/11,64000,65000,63700,64300,0.0,0.00%,63828,63150,15043
2020/11/10,64300,64700,63200,64300,▲100,＋0.16%,63768,62970,14606
2020/11/09,62900,64900,62900,64200,▲1100,＋1.74%,63713,62740,14387
2020/11/06,62100,64000,62100,63100,▼800,－1.25%,63633,62520,6365
2020/11/05,62600,64100,62600,63900,▲1100,＋1.75%,63514,62420,15698
2020/11/04,63300,63800,62600,62800,0.0,0.00%,63388,62360,10027
2020/11/03,61700,63300,61500,62800,▲600,＋0.96%,63277,62330,6564
2020/11/02,62600,62600,61400,62200,▲200,＋0.32%,63159,62170,4911
2020/10/30,62100,62500,61300,62000,▲100,＋0.16%,63053,62150,7488
2020/10/29,62200,62800,60900,61900,▼600,－0.96%,62948,62070,9780
2020/10/28,61300,62500,61200,62500,▲500,＋0.81%,62839,61980,5782
2020/10/27,61200,62300,61200,62000,0.0,0.00%,62723,61910,8836
2020/10/26,61700,62900,61500,62000,▼100,－0.16%,62604,62010,6148
2020/10/23,63000,63800,61800,62100,▼1200,－1.90%,62503,62160,9933
2020/10/22,62000,63300,61400,63300,▲800,＋1.28%,62404,62220,22856
2020/10/21,60600,62500,60600,62500,▲1300,＋2.12%,62293,62260,11982
2020/10/20,62400,62600,60500,61200,▼800,－1.29%,62174,62380,13880
2020/10/19,61800,62800,61300,62000,▲800,＋1.31%,62075,62690,14183
2020/10/16,60600,61500,60600,61200,▲200,＋0.33%,61960,62890,9919
2020/10/15,61500,62000,60500,61000,▼800,－1.29%,61864,63020,19752
2020/10/14,62500,63600,61500,61800,▼1200,－1.90%,61785,63120,14196
2020/10/13,63800,64100,62600,63000,▼500,－0.79%,61695,63050,11373
2020/10/12,63800,63800,62400,63500,▲800,＋1.28%,61577,62990,11982
2020/10/08,63700,64400,62500,62700,▼1000,－1.57%,61450,62860,18841
2020/10/07,64500,65200,63000,63700,0.0,0.00%,61326,63020,15830
2020/10/06,64000,64900,63700,63700,▼600,－0.93%,61195,63090,8720
2020/10/05,65500,65800,63600,64300,▲300,＋0.47%,61058,63170,12479
2020/09/29,64000,64800,62400,64000,▲1500,＋2.40%,60910,63280,15781
2020/09/28,62200,63200,62200,62500,▲500,＋0.81%,60766,63500,4212
2020/09/25,60800,64200,60800,62000,▲900,＋1.47%,60625,64000,7777
2020/09/24,62400,62400,60600,61100,▼1300,－2.08%,60465,64340,15754
2020/09/23,62100,63700,62000,62400,▲200,＋0.32%,60307,64860,8108
2020/09/22,64200,64200,62200,62200,▼2100,－3.27%,60132,65270,19948
2020/09/21,64400,65800,64300,64300,▼100,－0.16%,59956,65850,10074
2020/09/18,64800,65400,64100,64400,▼100,－0.16%,59751,66140,7614
2020/09/17,64900,65400,64300,64500,▼900,－1.38%,59551,66430,13214
2020/09/16,66000,66800,64500,65400,▼800,－1.21%,59343,66700,23493
