[일시]삼화페인트,시가,고가,저가,종가,대비,대비율,<가격이동평균>120,10,[거래량]
2020/12/24,14450,14500,13000,13550,▼1350,－9.06%,6031,12539,897194
2020/12/23,14650,15250,13600,14900,▲100,＋0.68%,5958,11960,1997814
2020/12/22,16850,17000,14300,14800,▼2600,－14.94%,5873,11250,2748127
2020/12/21,18950,20100,16600,17400,▲350,＋2.05%,5789,10529,4689043
2020/12/18,17050,17050,15450,17050,▲3900,＋29.66%,5683,9543,5203607
2020/12/17,12500,13150,11900,13150,▲3000,＋29.56%,5580,8628,1192996
2020/12/16,7840,10150,7720,10150,▲2310,＋29.46%,5511,8113,4344294
2020/12/15,8160,8160,7790,7840,▼240,－2.97%,5467,7839,341788
2020/12/14,8220,8390,8050,8080,▼390,－4.60%,5442,7802,524174
2020/12/11,7840,8570,7570,8470,▲710,＋9.15%,5415,7730,2026650
2020/12/10,7740,7850,7560,7760,▼40,－0.51%,5385,7644,161651
2020/12/09,7600,7890,7550,7800,▲210,＋2.77%,5361,7647,347452
2020/12/08,7470,7670,7300,7590,▲50,＋0.66%,5336,7600,252574
2020/12/07,7790,7830,7540,7540,▼360,－4.56%,5314,7589,307302
2020/12/04,7970,7970,7610,7900,▼100,－1.25%,5290,7617,482776
2020/12/03,7550,8000,7410,8000,▲590,＋7.96%,5266,7619,1307477
2020/12/02,7400,7550,7380,7410,▼60,－0.80%,5242,7634,187752
2020/12/01,7350,7470,7200,7470,▲110,＋1.49%,5224,7758,219808
2020/11/30,7580,7650,7350,7360,▼250,－3.29%,5206,7677,303940
2020/11/27,7670,7710,7470,7610,▼180,－2.31%,5190,7454,380361
2020/11/26,7330,8590,7330,7790,▲460,＋6.28%,5171,7202,3998839
2020/11/25,7620,7630,7290,7330,▼150,－2.01%,5151,6937,444483
2020/11/24,7830,8070,7480,7480,▼340,－4.35%,5136,6717,926282
2020/11/23,7820,8060,7750,7820,▼100,－1.26%,5115,6482,894460
2020/11/20,8140,8200,7610,7920,▼230,－2.82%,5092,6210,1287710
2020/11/19,8720,9580,8010,8150,▼500,－5.78%,5067,5928,5750296
2020/11/18,7840,8650,7750,8650,▲1990,＋29.88%,5040,5608,8631388
2020/11/17,5150,6660,5100,6660,▲1530,＋29.82%,5009,5233,5202051
2020/11/16,5090,5160,5080,5130,▲40,＋0.79%,4996,5057,24676
2020/11/13,5130,5140,5080,5090,▼50,－0.97%,4994,5033,14973
2020/11/12,5150,5200,5080,5140,▲10,＋0.19%,4993,5013,31771
2020/11/11,5140,5160,5100,5130,0.0,0.00%,4993,4990,25182
2020/11/10,5090,5150,5070,5130,▲30,＋0.59%,4992,4967,36557
2020/11/09,5090,5120,5010,5100,0.0,0.00%,4991,4942,30278
2020/11/06,4975,5130,4935,5100,▲150,＋3.03%,4989,4920,76939
2020/11/05,4920,4950,4900,4950,▲50,＋1.02%,4988,4901,17298
2020/11/04,4905,4930,4895,4900,▲5,＋0.10%,4987,4897,5805
2020/11/03,4890,4940,4890,4895,0.0,0.00%,4987,4897,5522
2020/11/02,4900,4915,4875,4895,▲10,＋0.20%,4987,4897,5157
2020/10/30,4915,4945,4880,4885,▼25,－0.51%,4988,4898,10440
2020/10/29,4905,4910,4840,4910,▲5,＋0.10%,4990,4900,73948
2020/10/28,4895,4905,4875,4905,▲25,＋0.51%,4992,4900,3907
2020/10/27,4880,4900,4860,4880,0.0,0.00%,4993,4905,8178
