[일시]새로닉스,시가,고가,저가,종가,대비,대비율,<가격이동평균>120,10,[거래량]
2020/12/24,13400,13950,12300,12600,▼850,－6.32%,5692,11652,1055139
2020/12/23,12750,14450,12600,13450,▲550,＋4.26%,5614,11207,1123382
2020/12/22,13750,14100,12900,12900,▼1500,－10.42%,5527,10638,717034
2020/12/21,14150,14500,13650,14400,▼50,－0.35%,5446,10093,1307851
2020/12/18,13100,16300,12600,14450,▲1650,＋12.89%,5352,9405,7949229
2020/12/17,12500,13700,11900,12800,▲1850,＋16.89%,5259,8703,7473776
2020/12/16,8430,10950,8280,10950,▲2500,＋29.59%,5179,8195,4532622
2020/12/15,8160,8660,8150,8450,▲190,＋2.30%,5114,7899,845917
2020/12/14,8210,8410,7930,8260,0.0,0.00%,5068,7834,293551
2020/12/11,8070,8460,7950,8260,▲110,＋1.35%,5024,7762,736499
2020/12/10,7680,9090,7600,8150,▲390,＋5.03%,4981,7716,4987187
2020/12/09,7430,7800,7430,7760,▲310,＋4.16%,4938,7571,442191
2020/12/08,7530,7870,7450,7450,▼70,－0.93%,4898,7400,391211
2020/12/07,7360,7680,7350,7520,▲90,＋1.21%,4860,7265,295187
2020/12/04,7630,7700,7260,7430,▼290,－3.76%,4821,7079,544377
2020/12/03,7930,7930,7610,7720,▼270,－3.38%,4785,6911,573845
2020/12/02,7870,8080,7710,7990,▲190,＋2.44%,4747,6713,1266817
2020/12/01,7540,8290,7350,7800,▲260,＋3.45%,4707,6482,3744840
2020/11/30,7730,7830,7520,7540,▼260,－3.33%,4669,6264,1222987
2020/11/27,6630,8350,6590,7800,▲1100,＋16.42%,4632,6058,10262241
2020/11/26,6050,7860,5860,6700,▲650,＋10.74%,4592,5848,7469741
2020/11/25,6210,6220,5910,6050,▼50,－0.82%,4561,5740,531419
2020/11/24,5670,6100,5650,6100,▲440,＋7.77%,4536,5690,761746
2020/11/23,5950,5970,5660,5660,▼90,－1.57%,4510,5647,279897
2020/11/20,5800,5800,5610,5750,▲10,＋0.17%,4488,5661,90907
2020/11/19,5680,5850,5630,5740,▲60,＋1.06%,4464,5637,248736
2020/11/18,5620,5690,5520,5680,▲60,＋1.07%,4440,5633,82517
2020/11/17,5410,5640,5400,5620,▲140,＋2.55%,4418,5606,117658
2020/11/16,5620,5680,5480,5480,▼220,－3.86%,4397,5598,92693
2020/11/13,5650,5700,5410,5700,▲80,＋1.42%,4376,5588,119729
2020/11/12,5570,5780,5550,5620,▲70,＋1.26%,4353,5545,113306
2020/11/11,5660,5750,5530,5550,▼120,－2.12%,4331,5521,105418
2020/11/10,5800,5800,5590,5670,▼130,－2.24%,4310,5517,132172
2020/11/09,5520,5830,5520,5800,▲290,＋5.26%,4287,5486,263642
2020/11/06,5960,6010,5500,5510,▼190,－3.33%,4263,5424,479755
2020/11/05,5500,5730,5370,5700,▲290,＋5.36%,4240,5408,270055
2020/11/04,5560,5650,5370,5410,▼130,－2.35%,4216,5376,112810
2020/11/03,5450,5600,5380,5540,▲160,＋2.97%,4195,5400,101966
2020/11/02,5260,5460,5200,5380,▲110,＋2.09%,4173,5397,56088
2020/10/30,5370,5490,5200,5270,▼110,－2.04%,4153,5412,102622
2020/10/29,5400,5410,5190,5380,▼130,－2.36%,4134,5469,108094
2020/10/28,5370,5510,5280,5510,▲150,＋2.80%,4112,5540,92924
2020/10/27,5150,5530,5020,5360,▲180,＋3.47%,4090,5635,182407
2020/10/26,5350,5490,5100,5180,▼170,－3.18%,4069,5771,158981
2020/10/23,5480,5520,5250,5350,▼30,－0.56%,4049,5917,144154
2020/10/22,5630,5700,5340,5380,▼270,－4.78%,4028,6051,136957
2020/10/21,5530,5680,5420,5650,▲140,＋2.54%,4007,6175,153083
2020/10/20,5530,5630,5330,5510,▼20,－0.36%,3983,6223,289933
2020/10/19,5750,5860,5530,5530,▼310,－5.31%,3960,6320,264174
2020/10/16,6090,6130,5560,5840,▼250,－4.11%,3937,6410,393631
2020/10/15,6490,6500,5900,6090,▼370,－5.73%,3911,6321,585358
2020/10/14,6650,6670,6350,6460,▼260,－3.87%,3884,6205,770389
2020/10/13,6720,6920,6570,6720,▲80,＋1.20%,3852,6079,613134
2020/10/12,6630,6690,6570,6640,▼50,－0.75%,3817,6019,273371
2020/10/08,6520,6690,6520,6690,▲70,＋1.06%,3783,5826,533393
2020/10/07,6440,7650,6410,6620,▲490,＋7.99%,3748,5611,12428850
2020/10/06,6480,6570,6090,6130,▼350,－5.40%,3715,5409,1493486
2020/10/05,6300,7300,5950,6480,▲50,＋0.78%,3686,5232,8831883
2020/09/29,5570,6430,5390,6430,▲1480,＋29.90%,3653,5030,10386333
2020/09/28,4960,5020,4820,4950,▲25,＋0.51%,3622,4838,861207
2020/09/25,5280,5360,4850,4925,▼275,－5.29%,3602,4788,1423577
2020/09/24,6530,7510,5100,5200,▼920,－15.03%,3582,4732,8309245
2020/09/23,5900,6120,5610,6120,▲1410,＋29.94%,3560,4648,6285016
2020/09/22,4580,4735,4400,4710,▲170,＋3.74%,3529,4471,347152
2020/09/21,4620,4720,4475,4540,▼60,－1.30%,3511,4440,119902
2020/09/18,4365,4700,4325,4600,▲235,＋5.38%,3494,4427,200983
2020/09/17,4445,4445,4300,4365,▼95,－2.13%,3476,4406,36813
2020/09/16,4505,4575,4300,4460,▼45,－1.00%,3460,4413,57471
2020/09/15,4450,4535,4435,4505,▲55,＋1.24%,3443,4414,30882
2020/09/14,4370,4450,4300,4450,▲80,＋1.83%,3426,4404,30398
2020/09/11,4360,4430,4260,4370,▲10,＋0.23%,3408,4411,14585
2020/09/10,4345,4400,4275,4360,▲15,＋0.35%,3393,4422,13601
2020/09/09,4390,4395,4230,4345,▼55,－1.25%,3377,4435,10655
2020/09/08,4355,4495,4350,4400,▼15,－0.34%,3362,4444,21943
2020/09/07,4340,4610,4315,4415,▲30,＋0.68%,3347,4464,37912
2020/09/04,4390,4415,4260,4385,▼50,－1.13%,3334,4460,27178
2020/09/03,4425,4535,4380,4435,▼40,－0.89%,3320,4455,20314
2020/09/02,4415,4480,4310,4475,▲75,＋1.70%,3307,4446,31333
2020/09/01,4520,4520,4380,4400,▼120,－2.65%,3296,4452,35037
2020/08/31,4480,4620,4480,4520,▲40,＋0.89%,3285,4445,43060
2020/08/28,4570,4570,4420,4480,▼10,－0.22%,3274,4460,29400
2020/08/27,4505,4630,4370,4490,▲50,＋1.13%,3263,4506,83532
2020/08/26,4595,4680,4250,4440,▼160,－3.48%,3253,4541,73083
2020/08/25,4370,4655,4370,4600,▲230,＋5.26%,3243,4583,79638
2020/08/24,4340,4395,4260,4370,▲35,＋0.81%,3231,4594,36546
2020/08/21,4305,4400,4190,4335,▼10,－0.23%,3221,4626,63797
2020/08/20,4550,4560,4250,4345,▼195,－4.30%,3212,4657,93788
2020/08/19,4325,4540,4325,4540,▲215,＋4.97%,3203,4683,40875
2020/08/18,4585,4730,4260,4325,▼350,－7.49%,3193,4729,152611
2020/08/14,4995,4995,4580,4675,▼260,－5.27%,3184,4726,93873
2020/08/13,4880,4990,4850,4935,▲95,＋1.96%,3173,4641,119825
2020/08/12,4960,5000,4755,4840,▼20,－0.41%,3160,4522,148069
2020/08/11,4670,4970,4645,4860,▲150,＋3.18%,3149,4415,140658
2020/08/10,4730,4790,4505,4710,▲20,＋0.43%,3137,4306,117646
2020/08/07,4675,5040,4675,4690,▲45,＋0.97%,3126,4195,271055
2020/08/06,4800,5050,4590,4645,▲35,＋0.76%,3116,4089,464920
2020/08/05,4940,4950,4610,4610,▼390,－7.80%,3106,3994,417875
2020/08/04,4390,5280,4380,5000,▲710,＋16.55%,3097,3918,2405296
2020/08/03,3895,4550,3845,4290,▲460,＋12.01%,3084,3787,911598
2020/07/31,3790,3935,3655,3830,▲85,＋2.27%,3076,3730,128056
2020/07/30,3825,3825,3680,3745,▼25,－0.66%,3072,3717,38071
2020/07/29,3770,3800,3690,3770,0.0,0.00%,3070,3714,19639
2020/07/28,3605,3890,3605,3770,▲170,＋4.72%,3066,3706,89694
2020/07/27,3600,3680,3580,3600,▼25,－0.69%,3063,3699,32964
2020/07/24,3690,3710,3570,3625,▼70,－1.89%,3061,3716,60512
2020/07/23,3860,3860,3635,3695,▼160,－4.15%,3059,3723,115025
2020/07/22,3725,4100,3635,3855,▲170,＋4.61%,3055,3737,284211
2020/07/21,3725,3760,3645,3685,▼40,－1.07%,3051,3738,33993
2020/07/20,3660,3740,3600,3725,▲30,＋0.81%,3048,3764,28269
2020/07/17,3730,3770,3640,3695,▼25,－0.67%,3045,3760,27962
2020/07/16,3685,3725,3450,3720,▲30,＋0.81%,3042,3733,29918
2020/07/15,3695,3750,3640,3690,▼10,－0.27%,3040,3684,61984
2020/07/14,3670,3755,3665,3700,▼70,－1.86%,3038,3627,87889
2020/07/13,3690,3770,3640,3770,▲80,＋2.17%,3036,3565,99463
2020/07/10,3780,3855,3500,3690,▼145,－3.78%,3034,3503,304723
2020/07/09,3890,4010,3765,3835,▼35,－0.90%,3032,3462,324884
2020/07/08,3925,4030,3785,3870,▼70,－1.78%,3030,3397,328821
2020/07/07,3690,4580,3655,3940,▲255,＋6.92%,3026,3323,2846542
2020/07/06,3450,3765,3440,3685,▲260,＋7.59%,3023,3227,295932
2020/07/03,3225,3680,3200,3425,▲190,＋5.87%,3022,3160,473280
