[일시]선창산업,시가,고가,저가,종가,대비,대비율,<가격이동평균>120,10,[거래량]
2020-12-24,4830,5040,4820,5020,▲160,3.29%,4170,4735,28892
2020-12-23,4805,4895,4805,4860,▲10,0.21%,4157,4688,19420
2020-12-22,4805,4940,4800,4850,▼50,-1.02%,4144,4659,31031
2020-12-21,4840,4975,4825,4900,▲85,1.77%,4132,4631,47218
2020-12-18,4655,4825,4615,4815,▲200,4.33%,4118,4600,29656
2020-12-17,4695,4700,4610,4615,▼35,-0.75%,4107,4582,56634
2020-12-16,4645,4720,4570,4650,▲110,2.42%,4097,4594,32214
2020-12-15,4600,4600,4500,4540,▲10,0.22%,4087,4604,36178
2020-12-14,4600,4600,4505,4530,▼35,-0.77%,4079,4620,5334
2020-12-11,4635,4635,4495,4565,▲10,0.22%,4069,4636,71202
2020-12-10,4600,4670,4500,4555,▼15,-0.33%,4060,4631,9525
2020-12-09,4570,4580,4480,4570,0,0.00%,4050,4623,19608
2020-12-08,4595,4595,4480,4570,▼20,-0.44%,4039,4610,20115
2020-12-07,4610,4640,4495,4590,▼40,-0.86%,4029,4602,27126
2020-12-04,4700,4795,4580,4630,▼110,-2.32%,4017,4590,19382
2020-12-03,4840,4840,4695,4740,▼10,-0.21%,4007,4567,15278
2020-12-02,4730,4750,4670,4750,▲50,1.06%,3997,4534,9441
2020-12-01,4685,4715,4640,4700,▲15,0.32%,3988,4504,15847
2020-11-30,4490,4685,4490,4685,▲165,3.65%,3980,4478,41841
2020-11-27,4475,4540,4460,4520,▲45,1.01%,3973,4462,15575
2020-11-26,4435,4545,4400,4475,▲40,0.90%,3967,4454,17904
2020-11-25,4660,4660,4420,4435,▼55,-1.22%,3961,4457,26930
2020-11-24,4470,4540,4445,4490,▲20,0.45%,3955,4462,23400
2020-11-23,4410,4495,4400,4470,▲65,1.48%,3949,4459,23827
2020-11-20,4475,4475,4400,4405,0,0.00%,3942,4468,11959
2020-11-19,4550,4550,4405,4405,▼50,-1.12%,3936,4475,18437
