[일시]시큐브,시가,고가,저가,종가,대비,대비율,<가격이동평균>10,[거래량]
2021/01/15,1610,1610,1565,1580,▼15,－0.94%,1584,313976
2021/01/14,1560,1605,1555,1595,▲30,＋1.92%,1588,385868
2021/01/13,1545,1570,1525,1565,▲15,＋0.97%,1588,292954
2021/01/12,1540,1580,1525,1550,▲10,＋0.65%,1587,337349
2021/01/11,1600,1600,1515,1540,▼50,－3.14%,1588,848056
2021/01/08,1625,1630,1585,1590,▼15,－0.93%,1586,474055
2021/01/07,1600,1630,1580,1605,▲5,＋0.31%,1579,575001
2021/01/06,1605,1625,1590,1600,▲5,＋0.31%,1576,313749
2021/01/05,1610,1615,1590,1595,▼20,－1.24%,1576,331940
2021/01/04,1630,1635,1600,1615,▼10,－0.62%,1575,352731
2020/12/30,1610,1635,1595,1625,▲30,＋1.88%,1568,369957
2020/12/29,1580,1610,1570,1595,▲40,＋2.57%,1561,201564
2020/12/28,1555,1574,1531,1555,0.0,0.00%,1557,329573
2020/12/24,1531,1579,1531,1555,▲29,＋1.88%,1560,372471
2020/12/23,1522,1550,1512,1526,▲5,＋0.31%,1563,504409
2020/12/22,1579,1584,1522,1522,▼52,－3.33%,1567,562175
2020/12/21,1622,1622,1565,1574,▼29,－1.79%,1571,489154
2020/12/18,1593,1607,1574,1603,▲24,＋1.51%,1569,644415
2020/12/17,1555,1603,1545,1579,▲29,＋1.85%,1563,597920
2020/12/16,1555,1560,1536,1550,▼5,－0.31%,1560,343372
2020/12/15,1565,1569,1531,1555,0.0,0.00%,1567,382975
2020/12/14,1584,1593,1550,1555,▼29,－1.81%,1574,456694
2020/12/11,1584,1588,1560,1584,▲5,＋0.30%,1577,653776
2020/12/10,1584,1603,1550,1579,▲10,＋0.61%,1575,1373603
2020/12/09,1584,1584,1531,1569,▲10,＋0.61%,1576,717978
2020/12/08,1555,1569,1531,1560,▲5,＋0.31%,1572,669251
2020/12/07,1555,1593,1536,1555,▲14,＋0.93%,1573,812157
2020/12/04,1555,1565,1526,1541,▼10,－0.62%,1569,879009
2020/12/03,1631,1636,1526,1550,▼72,－4.41%,1567,2194244
2020/12/02,1703,1851,1607,1622,▼5,－0.29%,1565,14106904
2020/12/01,1584,1636,1574,1627,▲43,＋2.71%,1553,1547843
2020/11/30,1579,1593,1565,1584,▲19,＋1.22%,1537,484931
2020/11/27,1588,1588,1555,1565,▼24,－1.50%,1531,805747
2020/11/26,1526,1674,1517,1588,▲62,＋4.06%,1523,5407929
2020/11/25,1579,1598,1503,1526,▼43,－2.74%,1512,857012
2020/11/24,1522,1569,1522,1569,▲48,＋3.13%,1503,829237
2020/11/23,1550,1607,1488,1522,▲5,＋0.31%,1492,2769555
2020/11/20,1526,1536,1493,1517,▼10,－0.63%,1488,336207
2020/11/19,1517,1526,1493,1526,▲24,＋1.59%,1482,394562
2020/11/18,1469,1512,1464,1503,▲33,＋2.27%,1476,334894
2020/11/17,1536,1541,1469,1469,▼57,－3.75%,1470,399868
2020/11/16,1498,1531,1479,1526,▲48,＋3.23%,1466,581786
2020/11/13,1464,1493,1445,1479,0.0,0.00%,1456,300660
2020/11/12,1450,1479,1436,1479,▲38,＋2.65%,1446,206936
2020/11/11,1469,1469,1436,1441,▼14,－0.98%,1439,187727
2020/11/10,1479,1479,1450,1455,▼29,－1.93%,1439,239151
2020/11/09,1479,1483,1460,1483,▲24,＋1.63%,1432,198527
2020/11/06,1498,1498,1436,1460,▼10,－0.65%,1421,423066
2020/11/05,1436,1474,1436,1469,▲33,＋2.33%,1421,230879
2020/11/04,1436,1460,1426,1436,0.0,0.00%,1423,252874
2020/11/03,1402,1455,1398,1436,▲14,＋1.01%,1430,267691
2020/11/02,1383,1426,1379,1421,▲38,＋2.76%,1435,141102
2020/10/30,1407,1421,1379,1383,▼24,－1.69%,1440,250280
2020/10/29,1407,1417,1383,1407,▼29,－1.99%,1449,296313
2020/10/28,1393,1455,1393,1436,▲48,＋3.44%,1462,319594
2020/10/27,1393,1512,1374,1388,▲14,＋1.04%,1477,1311264
2020/10/26,1445,1464,1355,1374,▼86,－5.88%,1498,612425
2020/10/23,1483,1493,1445,1460,▼33,－2.24%,1519,298703
2020/10/22,1507,1517,1474,1493,▼10,－0.63%,1536,290032
2020/10/21,1498,1503,1455,1503,▲19,＋1.29%,1550,229200
2020/10/20,1450,1498,1431,1483,▲14,＋0.97%,1553,421972
2020/10/19,1479,1522,1441,1469,▼5,－0.32%,1559,579787
2020/10/16,1550,1555,1460,1474,▼62,－4.04%,1562,694581
2020/10/15,1588,1612,1507,1536,▼57,－3.59%,1563,910772
