[일시]신영증권,시가,고가,저가,종가,대비,대비율,<가격이동평균>120,10,[거래량]
2020/12/24,53100,53500,52500,53500,▲500,＋0.94%,47750,52670,7225
2020/12/23,52000,53000,52000,53000,▲600,＋1.15%,47663,52460,7665
2020/12/22,52500,53000,52100,52400,0.0,0.00%,47580,52380,4642
2020/12/21,52200,52800,52200,52400,▲200,＋0.38%,47498,52300,2398
2020/12/18,52000,52800,51800,52200,0.0,0.00%,47415,52340,4256
2020/12/17,52600,52900,52000,52200,▼400,－0.76%,47343,52550,1833
2020/12/16,52500,52900,52000,52600,▲100,＋0.19%,47270,52800,99060
2020/12/15,52900,52900,51900,52500,▼400,－0.76%,47195,53030,4632
2020/12/14,52700,53500,51900,52900,▼100,－0.19%,47121,53150,4746
2020/12/11,51600,53000,51600,53000,▲1600,＋3.11%,47043,53130,7754
2020/12/10,52000,52500,51300,51400,▼800,－1.53%,46970,53270,8393
2020/12/09,52100,52800,51000,52200,▲600,＋1.16%,46910,53330,7054
2020/12/08,53300,53700,51600,51600,▼1200,－2.27%,46841,53310,5349
2020/12/07,53800,54400,52800,52800,▼1500,－2.76%,46774,53340,5489
2020/12/04,54500,55200,53800,54300,▼400,－0.73%,46700,53250,8004
2020/12/03,54900,54900,54100,54700,▼200,－0.36%,46622,52920,8015
2020/12/02,53700,54900,53400,54900,▲1200,＋2.23%,46548,52580,9245
2020/12/01,52700,53700,52300,53700,▲1000,＋1.90%,46472,52210,5301
2020/11/30,53300,54200,52700,52700,▼1700,－3.13%,46403,51910,6884
2020/11/27,52000,54400,52000,54400,▲2400,＋4.62%,46343,51700,18184
2020/11/26,51600,52500,51600,52000,0.0,0.00%,46274,51235,8545
2020/11/25,52800,52800,52000,52000,▲100,＋0.19%,46225,51005,9974
2020/11/24,52400,52400,51700,51900,0.0,0.00%,46179,50750,4303
2020/11/23,50700,52100,50700,51900,▲900,＋1.76%,46129,50425,11898
2020/11/20,50200,51700,50200,51000,▼300,－0.58%,46075,49955,12472
2020/11/19,50700,51300,50400,51300,▲100,＋0.20%,46022,49540,3074
