[일시]신영증권우,시가,고가,저가,종가,대비,대비율,<가격이동평균>120,10,[거래량]
2020/12/24,51800,51800,50600,50800,▲200,＋0.40%,47222,50650,455
2020/12/23,51500,51500,50500,50600,0.0,0.00%,47155,50620,744
2020/12/22,51000,51000,50600,50600,0.0,0.00%,47088,50620,826
2020/12/21,50600,50600,50200,50600,0.0,0.00%,47024,50630,2222
2020/12/18,50600,50700,50300,50600,0.0,0.00%,46958,50680,2758
2020/12/17,50600,50600,50400,50600,▼100,－0.20%,46898,50820,502
2020/12/16,50700,50800,50600,50700,0.0,0.00%,46842,50950,44563
2020/12/15,50600,51100,50600,50700,0.0,0.00%,46786,51080,433
2020/12/14,50600,51000,50600,50700,▲100,＋0.20%,46730,51160,467
2020/12/11,51200,51200,50500,50600,▲100,＋0.20%,46675,51230,879
2020/12/10,50600,50800,50300,50500,▼100,－0.20%,46629,51380,269
2020/12/09,50700,50700,50300,50600,▼100,－0.20%,46604,51520,458
2020/12/08,50300,50900,50300,50700,▼400,－0.78%,46558,51660,1422
2020/12/07,52100,52100,49150,51100,▼900,－1.73%,46507,51790,1133
2020/12/04,51900,52100,51500,52000,▲100,＋0.19%,46445,51890,894
2020/12/03,52000,52100,51500,51900,▼100,－0.19%,46383,51800,534
2020/12/02,51600,52100,51600,52000,▲500,＋0.97%,46330,51690,1101
2020/12/01,51500,51800,51300,51500,▲100,＋0.19%,46278,51630,1044
2020/11/30,52100,52100,51400,51400,▼700,－1.34%,46231,51560,998
2020/11/27,51900,52200,51400,52100,▲200,＋0.39%,46183,51520,4263
2020/11/26,51700,51900,51400,51900,▼100,－0.19%,46134,51280,455
2020/11/25,52000,52300,51800,52000,0.0,0.00%,46088,51070,1105
2020/11/24,52200,52200,51100,52000,▼100,－0.19%,46043,50835,2344
2020/11/23,51200,52100,51200,52100,▲1000,＋1.96%,45993,50495,2556
2020/11/20,50800,51300,50400,51100,▲300,＋0.59%,45937,50030,11136
2020/11/19,51200,51300,50600,50800,▼600,－1.17%,45885,49645,2030
2020/11/18,50800,51400,50500,51400,▲600,＋1.18%,45836,49290,2324
2020/11/17,51000,51000,50300,50800,▼200,－0.39%,45778,48850,2745
2020/11/16,49700,51000,48750,51000,▲1300,＋2.62%,45724,48440,3408
2020/11/13,49300,49700,48850,49700,▼100,－0.20%,45666,48005,2169
2020/11/12,49800,49800,49200,49800,▲150,＋0.30%,45619,47720,2726
2020/11/11,48350,49650,48350,49650,▲1050,＋2.16%,45573,47435,9715
2020/11/10,48500,48600,47600,48600,▲1150,＋2.42%,45526,47135,2953
2020/11/09,47900,47900,47000,47450,▲200,＋0.42%,45489,46915,1016
2020/11/06,47900,47900,47050,47250,0.0,0.00%,45457,46850,194
2020/11/05,47950,47950,47000,47250,▲250,＋0.53%,45426,46825,517
2020/11/04,47600,47600,46700,47000,▲300,＋0.64%,45392,46740,530
2020/11/03,46650,46850,46600,46700,▲50,＋0.11%,45359,46650,281
2020/11/02,48100,48100,46450,46650,▼200,－0.43%,45336,46600,689
2020/10/30,47000,48450,46600,46850,▼100,－0.21%,45316,46555,1084
2020/10/29,46900,48350,46600,46950,▲300,＋0.64%,45295,46490,2120
2020/10/28,46400,46700,46400,46650,▲250,＋0.54%,45275,46460,379
2020/10/27,47200,47200,46150,46400,▼400,－0.85%,45263,46460,848
2020/10/26,47350,47350,46700,46800,▼200,－0.43%,45253,46500,904
2020/10/23,47400,47400,46700,47000,▲600,＋1.29%,45242,46480,456
2020/10/22,46950,46950,46100,46400,▲300,＋0.65%,45229,46440,485
2020/10/21,46250,48400,45950,46100,▼100,－0.22%,45220,46465,3532
2020/10/20,46200,46250,45950,46200,0.0,0.00%,45210,46515,280
2020/10/19,46200,46350,45800,46200,0.0,0.00%,45202,46590,538
2020/10/16,46650,46650,44000,46200,▼450,－0.96%,45193,46670,1174
