[일시]신화실업,시가,고가,저가,종가,대비,대비율,<가격이동평균>120,10,[거래량]
2020/12/24,20100,20450,20100,20350,▲100,＋0.49%,20276,20500,7642
2020/12/23,20150,20350,19800,20250,▲100,＋0.50%,20288,20530,9146
2020/12/22,20900,20950,20100,20150,▼750,－3.59%,20303,20580,16005
2020/12/21,20550,20900,20500,20900,▲300,＋1.46%,20309,20600,6992
2020/12/18,20350,20650,20350,20600,▲250,＋1.23%,20307,20555,5089
2020/12/17,20500,20500,20150,20350,▼150,－0.73%,20321,20540,8916
2020/12/16,20550,20900,20400,20500,▼50,－0.24%,20342,20560,7173
2020/12/15,20600,20650,20450,20550,▼100,－0.48%,20361,20570,5820
2020/12/14,20550,20650,20400,20650,▼50,－0.24%,20382,20595,6256
2020/12/11,20650,20800,20600,20700,▲50,＋0.24%,20410,20640,1637
2020/12/10,20850,20900,20550,20650,▼100,－0.48%,20471,20660,4817
2020/12/09,20350,20900,20150,20750,▲400,＋1.97%,20513,20650,15356
2020/12/08,20400,20450,20150,20350,▼100,－0.49%,20523,20585,8997
2020/12/07,20450,20550,20150,20450,0.0,0.00%,20541,20590,5829
2020/12/04,20550,20700,20100,20450,▼100,－0.49%,20557,20575,20649
2020/12/03,20600,20800,20350,20550,▼50,－0.24%,20576,20560,4606
2020/12/02,20800,20900,20400,20600,▼200,－0.96%,20597,20535,6481
2020/12/01,21150,21300,20650,20800,▼300,－1.42%,20618,20510,8401
2020/11/30,20900,21550,20900,21100,▲200,＋0.96%,20641,20465,16730
2020/11/27,20450,21200,20400,20900,▲350,＋1.70%,20661,20395,16413
2020/11/26,20100,20700,20100,20550,▲450,＋2.24%,20683,20335,16618
2020/11/25,20400,20550,20000,20100,▼300,－1.47%,20703,20310,10734
2020/11/24,20300,20800,20000,20400,▲100,＋0.49%,20724,20340,18758
2020/11/23,20300,20450,20100,20300,0.0,0.00%,20740,20315,9077
2020/11/20,20450,20500,19950,20300,0.0,0.00%,20753,20330,10964
2020/11/19,20450,20450,20100,20300,▼50,－0.25%,20763,20335,8405
2020/11/18,20350,20400,20200,20350,0.0,0.00%,20776,20375,3136
2020/11/17,20350,20450,20150,20350,▼50,－0.25%,20793,20390,3721
2020/11/16,20250,20500,20150,20400,▲100,＋0.49%,20822,20425,5555
2020/11/13,20300,20450,20100,20300,0.0,0.00%,20850,20440,2652
2020/11/12,20500,20500,20100,20300,▼100,－0.49%,20880,20500,3602
2020/11/11,20150,20450,20100,20400,▲250,＋1.24%,20888,20460,6248
2020/11/10,20500,20600,20100,20150,▼300,－1.47%,20878,20495,6429
2020/11/09,20250,20550,20050,20450,▲100,＋0.49%,20871,20475,9267
2020/11/06,20800,20800,20150,20350,▼350,－1.69%,20863,20385,12911
2020/11/05,20500,20900,20400,20700,▲200,＋0.98%,20856,20410,7169
2020/11/04,21000,21000,20350,20500,▼200,－0.97%,20849,20460,9892
2020/11/03,20450,21100,20450,20700,▲150,＋0.73%,20844,20710,12765
2020/11/02,20900,21400,20400,20550,▼350,－1.67%,20838,20845,28725
2020/10/30,19900,24400,19900,20900,▲1000,＋5.03%,20835,20855,193168
2020/10/29,20350,20400,19600,19900,▼850,－4.10%,20828,20855,7096
2020/10/28,19800,20800,19600,20750,▲800,＋4.01%,20830,20875,9449
2020/10/27,19550,20250,19350,19950,▲400,＋2.05%,20817,20825,12371
2020/10/26,20600,20600,19550,19550,▼1050,－5.10%,20808,20885,23984
2020/10/23,21150,21350,20350,20600,▼600,－2.83%,20803,20985,20199
