[일시]유니온,시가,고가,저가,종가,대비,대비율,<가격이동평균>120,10,[거래량]
2020-12-24,5680,5940,5680,5840,▲110,1.92%,7445,6100,210418
2020-12-23,5950,6070,5720,5730,▼220,-3.70%,7440,6151,277234
2020-12-22,6210,6210,5640,5950,▼240,-3.88%,7436,6219,395147
2020-12-21,6190,6280,6120,6190,0,0.00%,7432,6277,217874
2020-12-18,6290,6320,6160,6190,▼110,-1.75%,7425,6298,223683
2020-12-17,6230,6330,6100,6300,▲180,2.94%,7415,6330,566761
2020-12-16,6130,6170,6060,6120,▼10,-0.16%,7404,6339,182375
2020-12-15,6130,6160,6020,6130,▼30,-0.49%,7393,6381,256124
2020-12-14,6320,6330,6130,6160,▼230,-3.60%,7385,6416,386132
2020-12-11,6360,6410,6330,6390,▲40,0.63%,7377,6464,247057
2020-12-10,6350,6450,6320,6350,▼60,-0.94%,7368,6461,285682
2020-12-09,6560,6570,6400,6410,▼120,-1.84%,7361,6444,442620
2020-12-08,6450,6630,6370,6530,▲130,2.03%,7353,6422,702354
2020-12-07,6510,6520,6370,6400,▼110,-1.69%,7343,6396,295818
2020-12-04,6490,6630,6330,6510,▲120,1.88%,7331,6382,833621
2020-12-03,6690,6690,6360,6390,▼150,-2.29%,7323,6366,424037
2020-12-02,6540,6600,6460,6540,▲60,0.93%,7316,6350,400593
2020-12-01,6690,6830,6420,6480,▼160,-2.41%,7309,6313,2032951
2020-11-30,6380,6640,6340,6640,▲280,4.40%,7304,6271,1550856
2020-11-27,6230,6510,6230,6360,▲180,2.91%,7298,6237,633903
2020-11-26,6180,6250,6110,6180,▼10,-0.16%,7294,6243,243638
2020-11-25,6330,6340,6090,6190,▼80,-1.28%,7290,6265,330217
2020-11-24,6280,6400,6250,6270,▲10,0.16%,7288,6284,433895
2020-11-23,6350,6370,6220,6260,▼90,-1.42%,7288,6299,282445
2020-11-20,6210,6400,6210,6350,▲120,1.93%,7288,6312,500625
2020-11-19,6120,6310,6120,6230,▲60,0.97%,7289,6317,374795
2020-11-18,6090,6250,6040,6170,▲110,1.82%,7292,6353,559502
2020-11-17,6260,6300,6020,6060,▼240,-3.81%,7299,6539,516473
2020-11-16,6380,6410,6300,6300,▼120,-1.87%,7306,6602,513390
2020-11-13,6510,6520,6350,6420,▲20,0.31%,7312,6631,1090902
2020-11-12,6410,6550,6350,6400,▲20,0.31%,7322,6638,987622
2020-11-11,6440,6560,6280,6380,▼40,-0.62%,7322,6688,1486622
2020-11-10,6440,6470,6340,6420,▲30,0.47%,7321,6741,645004
2020-11-09,6330,6470,6270,6390,▼10,-0.16%,7323,6782,1088349
2020-11-06,6590,6840,6400,6400,▼190,-2.88%,7323,6823,3776010
2020-11-05,6610,6870,6180,6590,▼1440,-17.93%,7317,6915,5454140
2020-11-04,6710,8520,6600,8030,▲1340,20.03%,7305,6983,17806809
2020-11-03,6700,6780,6570,6690,▲100,1.52%,7277,6916,299761
2020-11-02,6410,6730,6410,6590,▲100,1.54%,7263,6969,300299
2020-10-30,6840,6840,6470,6490,▼410,-5.94%,7244,7047,315049
2020-10-29,6730,6900,6680,6900,▼10,-0.14%,7230,7126,208145
2020-10-28,6850,6960,6840,6910,▲80,1.17%,7213,7204,221765
2020-10-27,6700,7200,6570,6830,▲30,0.44%,7193,7312,667194
2020-10-26,7230,7340,6800,6800,▼520,-7.10%,7169,7422,288593
2020-10-23,7180,7470,7170,7320,▲50,0.69%,7137,7549,231491
2020-10-22,7340,7510,7230,7270,▼90,-1.22%,7101,7627,224874
2020-10-21,7230,7570,7150,7360,▲140,1.94%,7066,7715,373031
2020-10-20,7300,7350,7030,7220,▼150,-2.04%,7029,7797,273995
2020-10-19,8190,8200,7300,7370,▲90,1.24%,6995,7893,1682277
2020-10-16,7680,7780,7150,7280,▼400,-5.21%,6961,7929,474528
2020-10-15,7850,8120,7500,7680,▼310,-3.88%,6923,7944,374303
2020-10-14,8050,8350,7950,7990,▲60,0.76%,6883,7900,1117205
2020-10-13,8070,8100,7900,7930,▼140,-1.73%,6840,7808,247468
2020-10-12,8150,8150,7840,8070,▼30,-0.37%,6797,7770,491257
2020-10-08,8120,8270,8060,8100,▼50,-0.61%,6752,7745,324585
2020-10-07,8270,8370,8130,8150,▼30,-0.37%,6705,7769,477943
2020-10-06,8120,8740,7900,8180,0,0.00%,6658,7815,2574159
2020-10-05,7660,8420,7300,8180,▲450,5.82%,6611,7877,4250680
2020-09-29,7540,7810,7520,7730,▲300,4.04%,6564,7965,419957
2020-09-28,7280,7640,7250,7430,▲190,2.62%,6521,8132,424140
2020-09-25,7230,7590,6920,7240,▲170,2.40%,6478,8345,609442
2020-09-24,7290,7400,7000,7070,▼480,-6.36%,6437,8556,551703
2020-09-23,7780,7970,7400,7550,▼270,-3.45%,6396,8784,573866
2020-09-22,8340,8430,7720,7820,▼520,-6.24%,6352,9003,754226
2020-09-21,8700,8830,8310,8340,▼270,-3.14%,6306,9151,507771
2020-09-18,8800,8820,8520,8610,▼190,-2.16%,6254,9233,767796
2020-09-17,9060,9100,8800,8800,▼260,-2.87%,6199,9280,737738
2020-09-16,9400,9430,9050,9060,▼340,-3.62%,6142,9336,993485
2020-09-15,9550,9570,9350,9400,▼160,-1.67%,6083,9365,1209488
2020-09-14,9540,9620,9430,9560,▲210,2.25%,6019,9384,1427393
2020-09-11,9520,9700,9350,9350,0,0.00%,5954,9270,1459637
2020-09-10,9490,9620,9350,9350,▼390,-4.00%,5892,9195,1648755
2020-09-09,9530,10100,9330,9740,▲440,4.73%,5828,9093,7604018
2020-09-08,9360,9850,9100,9300,▲140,1.53%,5764,8996,4634399
2020-09-07,9130,9350,9090,9160,▲80,0.88%,5704,8977,834770
2020-09-04,8950,9590,8770,9080,▼280,-2.99%,5645,8919,1402283
2020-09-03,9410,9520,9200,9360,▲10,0.11%,5589,8955,1282012
2020-09-02,9250,9470,9030,9350,▼240,-2.50%,5532,8978,2057935
2020-09-01,8470,9920,8220,9590,▲1170,13.90%,5478,8997,13502169
2020-08-31,8570,8700,8400,8420,▼180,-2.09%,5423,8994,598256
2020-08-28,8400,8660,8320,8600,▲270,3.24%,5377,9147,1085259
2020-08-27,8820,8930,8320,8330,▼440,-5.02%,5331,9292,1148823
2020-08-26,9080,9080,8630,8770,▼340,-3.73%,5288,9452,1653430
2020-08-25,9290,9330,8860,9110,▲530,6.18%,5241,9568,2996126
2020-08-24,8960,8960,8070,8580,▼860,-9.11%,5191,9575,2490655
2020-08-21,9400,9620,9310,9440,▼150,-1.56%,5145,9672,1353634
2020-08-20,9800,10500,9150,9590,▲50,0.52%,5091,9646,6792421
2020-08-19,9820,9940,9500,9540,▼20,-0.21%,5038,9586,1937777
2020-08-18,10050,10350,9050,9560,▼390,-3.92%,4986,9532,3482942
2020-08-14,9920,10450,9720,9950,▼100,-1.00%,4934,9468,4114589
2020-08-13,9600,10550,9500,10050,▲120,1.21%,4877,9373,7128950
2020-08-12,9500,10000,9320,9930,0,0.00%,4822,9266,3303610
2020-08-11,9340,10150,9270,9930,▲750,8.17%,4768,9229,9899088
2020-08-10,9550,9550,9160,9180,▼370,-3.87%,4715,9067,1739184
2020-08-07,9340,9750,9140,9550,▲370,4.03%,4668,9059,6227763
2020-08-06,8900,9780,8750,9180,▲190,2.11%,4619,9014,9207110
2020-08-05,9000,9310,8800,8990,▼10,-0.11%,4573,8796,2438978
2020-08-04,8780,9050,8600,9000,▲80,0.90%,4528,8436,2250325
2020-08-03,9160,9180,8710,8920,▼80,-0.89%,4484,8070,1581759
2020-07-31,9080,9390,8800,9000,▲20,0.22%,4440,7722,3808723
2020-07-30,9130,9420,8560,8980,▼580,-6.07%,4396,7389,6143677
2020-07-29,8090,10150,7930,9560,▲1250,15.04%,4353,7062,45559726
2020-07-28,8680,8690,7860,8310,▼790,-8.68%,4304,6677,7396107
2020-07-27,9810,11100,8700,9100,0,0.00%,4265,6370,31466913
2020-07-24,7350,9100,7100,9100,▲2100,30.00%,4219,5975,46465145
2020-07-23,6400,7000,6200,7000,▲1610,29.87%,4172,5578,23392099
2020-07-22,5340,5420,5310,5390,▲50,0.94%,4142,5401,896309
2020-07-21,5460,5460,5260,5340,▼100,-1.84%,4126,5401,815717
2020-07-20,5600,5600,5400,5440,▼230,-4.06%,4112,5385,787770
2020-07-17,5870,6160,5630,5670,▼40,-0.70%,4097,5351,4944590
2020-07-16,5540,5710,5440,5710,0,0.00%,4081,5305,2012086
2020-07-15,5370,5750,5280,5710,▲470,8.97%,4065,5254,3621200
2020-07-14,5430,5500,5210,5240,▲90,1.75%,4049,5213,1334612
2020-07-13,5130,5220,5110,5150,▲20,0.39%,4038,5237,430900
2020-07-10,5230,5330,5050,5130,▼100,-1.91%,4028,5253,1009075
2020-07-09,5420,5440,5220,5230,▼160,-2.97%,4018,5245,831975
2020-07-08,5200,5600,5150,5390,▲210,4.05%,4007,5210,4030559
2020-07-07,5160,5240,5050,5180,▲80,1.57%,3995,5158,839818
2020-07-06,5230,5240,5050,5100,▼110,-2.11%,3984,5156,397968
2020-07-03,5150,5320,5120,5210,▲10,0.19%,3974,5160,581545
2020-07-02,5270,5300,4995,5200,▼100,-1.89%,3962,5170,526453
2020-07-01,5480,5510,5160,5300,▼180,-3.28%,3949,5204,945898
2020-06-30,5830,5870,5250,5480,▲170,3.20%,3937,5223,3228306
2020-06-29,5170,5420,5090,5310,▲260,5.15%,3924,5206,1805863
2020-06-26,4910,5240,4910,5050,▲170,3.48%,3913,5175,2483348
2020-06-25,4880,5140,4835,4880,▲15,0.31%,3905,5216,1622192
2020-06-24,5040,5080,4800,4865,▼295,-5.72%,3897,5290,1295919
2020-06-23,5190,6380,5090,5160,▲20,0.39%,3890,5373,12361845
2020-06-22,5280,5290,5080,5140,▼170,-3.20%,3880,5446,551740
2020-06-19,5540,5650,5310,5310,▼230,-4.15%,3870,5523,917589
2020-06-18,5490,5750,5250,5540,▲50,0.91%,3859,5579,2271366
2020-06-17,5190,5720,5120,5490,▲180,3.39%,3846,5593,2939049
2020-06-16,5090,5440,5090,5310,▲310,6.20%,3833,5642,944893
2020-06-15,5260,5410,4950,5000,▼460,-8.42%,3821,5742,833963
2020-06-12,5290,5490,5180,5460,▼160,-2.85%,3813,5867,820658
2020-06-11,5680,5690,5440,5620,▼80,-1.40%,3801,5963,918940
2020-06-10,5880,5890,5650,5700,▼190,-3.23%,3787,6056,651857
2020-06-09,5860,5940,5800,5890,▼20,-0.34%,3773,6192,553925
2020-06-08,5830,6030,5790,5910,▲40,0.68%,3757,6294,840055
2020-06-05,5710,5980,5540,5870,▲190,3.35%,3741,6407,1156015
2020-06-04,5980,6240,5350,5680,▼300,-5.02%,3725,6577,4306343
2020-06-03,6150,6150,5820,5980,▼330,-5.23%,3711,6649,1218045
2020-06-02,6440,6490,6280,6310,▲60,0.96%,3694,6682,1717376
2020-06-01,6160,6250,6030,6250,▼170,-2.65%,3675,6711,1661882
2020-05-29,6880,6930,6190,6420,▼130,-1.98%,3657,6733,3101869
2020-05-28,7120,7120,6500,6550,▼510,-7.22%,3637,6648,3371814
2020-05-27,6870,7330,6840,7060,▲150,2.17%,3618,6510,12770724
2020-05-26,7150,7370,6780,6910,▼130,-1.85%,3596,6274,5680418
2020-05-25,7340,7440,6960,7040,▼530,-7.00%,3574,6079,5555882
2020-05-22,6950,8090,6580,7570,▲1170,18.28%,3551,5817,51911566
2020-05-21,6490,6700,6330,6400,▲90,1.43%,3523,5530,4410241
2020-05-20,6410,6550,6230,6310,▼290,-4.39%,3506,5377,3481322
2020-05-19,6290,6920,5670,6600,▲130,2.01%,3489,5205,15360929
2020-05-18,6000,6870,5970,6470,▲900,16.16%,3471,4935,21855674
2020-05-15,5450,5900,5140,5570,▲400,7.74%,3455,4588,17296432
2020-05-14,4880,5360,4790,5170,▲475,10.12%,3446,4333,13104165
2020-05-13,4875,4960,4610,4695,▼265,-5.34%,3441,4118,5870720
2020-05-12,4455,5590,4455,4960,▲535,12.09%,3439,3947,31349524
2020-05-11,4470,4565,4410,4425,▼275,-5.85%,3434,3760,1900692
2020-05-08,4730,4900,4580,4700,▼170,-3.49%,3435,3641,2799016
2020-05-07,4915,5240,4610,4870,▲280,6.10%,3433,3451,12710752
2020-05-06,4375,4950,4205,4590,▲690,17.69%,3429,3252,18778530
2020-05-04,3285,3900,3275,3900,▲900,30.00%,3428,3076,9228608
2020-04-29,3000,3055,2950,3000,▼15,-0.50%,3432,2965,116895
2020-04-28,3025,3040,2965,3015,▼10,-0.33%,3444,2927,104996
2020-04-27,2980,3060,2950,3025,▲45,1.51%,3455,2867,82233
2020-04-24,3100,3100,2930,2980,▼110,-3.56%,3466,2818,226968
2020-04-23,3135,3150,3035,3090,▼150,-4.63%,3478,2778,506943
2020-04-22,2705,3410,2675,3240,▲445,15.92%,3488,2722,1506520
2020-04-21,2855,2960,2620,2795,▼90,-3.12%,3498,2650,267131
2020-04-20,2935,2975,2835,2885,▲55,1.94%,3510,2606,229305
2020-04-17,2785,2895,2760,2830,▲45,1.62%,3522,2541,176786
2020-04-16,2625,2870,2590,2785,▲165,6.30%,3535,2482,323240
2020-04-14,2450,2880,2445,2620,▲200,8.26%,3549,2426,770674
2020-04-13,2520,2535,2420,2420,▼115,-4.54%,3564,2395,88408
2020-04-10,2590,2650,2435,2535,▼45,-1.74%,3582,2361,101207
2020-04-09,2535,2590,2535,2580,▲55,2.18%,3600,2305,73188
2020-04-08,2540,2600,2430,2525,▲5,0.20%,3619,2245,102615
2020-04-07,2380,2660,2360,2520,▲165,7.01%,3637,2187,198975
2020-04-06,2265,2380,2240,2355,▲115,5.13%,3654,2117,146437
2020-04-03,2240,2300,2205,2240,0,0.00%,3672,2054,93794
2020-04-02,2215,2250,2135,2240,▲15,0.67%,3692,2025,75936
2020-04-01,2295,2345,2190,2225,▼85,-3.68%,3713,1968,181931
2020-03-31,2090,2315,2090,2310,▲235,11.33%,3731,1944,146611
2020-03-30,1940,2090,1865,2075,▲95,4.80%,3749,1926,113544
