[일시]이화산업,시가,고가,저가,종가,대비,대비율,<가격이동평균>120,10,[거래량]
2020-12-24,16000,16250,15800,16000,▲50,0.31%,14738,15725,293
2020-12-23,16100,16250,15700,15950,▼300,-1.85%,14723,15620,3562
2020-12-22,16250,16400,15800,16250,0,0.00%,14710,15515,4849
2020-12-21,16000,16450,15900,16250,▲400,2.52%,14694,15380,1207
2020-12-18,15650,16400,15650,15850,▲200,1.28%,14678,15240,3214
2020-12-17,16000,16000,15450,15650,▼100,-0.63%,14666,15155,1116
2020-12-16,15350,15750,15150,15750,▲450,2.94%,14657,15090,4603
2020-12-15,15300,15300,15150,15300,▲150,0.99%,14644,15010,1363
2020-12-14,15100,15300,15100,15150,▲50,0.33%,14637,14975,877
2020-12-11,15200,15200,14900,15100,▲150,1.00%,14639,14975,2392
2020-12-10,14900,15300,14900,14950,▲50,0.34%,14654,14985,402
2020-12-09,15400,15400,14900,14900,0,0.00%,14662,15010,258
2020-12-08,14850,15000,14850,14900,▲50,0.34%,14657,14990,322
2020-12-07,15000,15000,14700,14850,▼150,-1.00%,14642,14985,2677
2020-12-04,15000,15000,14750,15000,0,0.00%,14628,15000,464
2020-12-03,15400,15400,14700,15000,▲50,0.33%,14614,15010,773
2020-12-02,14950,15500,14950,14950,0,0.00%,14600,14985,2029
2020-12-01,15150,15150,14750,14950,▼200,-1.32%,14587,14975,368
2020-11-30,15200,15250,15000,15150,▼50,-0.33%,14574,14950,126
2020-11-27,15200,15250,15200,15200,0,0.00%,14559,14925,300
2020-11-26,15050,15200,14600,15200,▲500,3.40%,14541,14935,172
2020-11-25,14850,15250,14700,14700,▼150,-1.01%,14524,14940,1960
2020-11-24,15000,15400,14750,14850,▼150,-1.00%,14514,14985,6519
2020-11-23,15100,15150,14600,15000,▼100,-0.66%,14499,15010,2500
2020-11-20,14750,15200,14500,15100,▲350,2.37%,14484,14990,1466
2020-11-19,14850,14850,14700,14750,▼100,-0.67%,14467,14950,287
2020-11-18,14500,14850,14500,14850,▲150,1.02%,14453,14970,991
2020-11-17,14750,14900,14600,14700,▼200,-1.34%,14439,14955,1492
2020-11-16,15300,15300,14800,14900,▼400,-2.61%,14427,14950,1883
2020-11-13,15250,15550,15250,15300,▲50,0.33%,14415,14910,1072
2020-11-12,15650,15650,14950,15250,▲100,0.66%,14398,14860,1148
2020-11-11,15050,15600,14650,15150,▲50,0.33%,14385,14805,9519
2020-11-10,15000,15100,14650,15100,▲300,2.03%,14373,14765,663
2020-11-09,14700,15450,14700,14800,▲100,0.68%,14361,14735,351
2020-11-06,14800,15000,14650,14700,▼250,-1.67%,14349,14775,648
2020-11-05,14700,15000,14500,14950,▲250,1.70%,14339,14815,455
2020-11-04,14650,14750,14450,14700,▲50,0.34%,14323,14915,851
2020-11-03,14650,14650,14300,14650,▲150,1.03%,14309,15020,1776
2020-11-02,14800,15000,14350,14500,▼300,-2.03%,14295,15140,2085
2020-10-30,15500,15650,14700,14800,▲100,0.68%,14288,15135,6679
2020-10-29,14500,14750,14500,14700,▼50,-0.34%,14280,15085,679
2020-10-28,14800,15250,14600,14750,▼50,-0.34%,14265,15040,1944
2020-10-27,15000,15000,14650,14800,▼400,-2.63%,14249,15010,1294
2020-10-26,15100,15350,14450,15200,▲100,0.66%,14231,15015,4864
2020-10-23,15900,15900,15100,15100,▼850,-5.33%,14213,14960,546
2020-10-22,15750,16250,15450,15950,▲200,1.27%,14192,14900,3835
2020-10-21,15900,16850,15600,15750,▼100,-0.63%,14165,14755,18199
2020-10-20,14400,17450,14400,15850,▲1400,9.69%,14137,14610,37106
2020-10-19,14450,14450,14100,14450,▲150,1.05%,14114,14430,423
2020-10-16,14250,14800,14250,14300,▲50,0.35%,14098,14390,2523
2020-10-15,14200,14450,14200,14250,▼200,-1.38%,14082,14415,126
2020-10-14,14850,14850,14300,14450,▼400,-2.69%,14072,14445,2443
2020-10-13,14500,14850,14400,14850,▲200,1.37%,14060,14455,652
2020-10-12,14750,14750,14400,14650,▲150,1.03%,14042,14455,499
2020-10-08,14750,14750,14400,14500,0,0.00%,14019,14475,313
2020-10-07,14650,14650,14300,14500,▲200,1.40%,13999,14545,2331
2020-10-06,14100,15550,14100,14300,▲250,1.78%,13980,14610,4728
2020-10-05,14050,15400,14050,14050,0,0.00%,13964,14740,3716
2020-09-29,14550,14650,14000,14050,▼500,-3.44%,13950,14885,4710
2020-09-28,14550,14550,14300,14550,0,0.00%,13933,15025,122
2020-09-25,14550,14550,14300,14550,0,0.00%,13911,15110,152
2020-09-24,14600,14800,14100,14550,▼300,-2.02%,13889,15175,470
2020-09-23,14600,14850,14500,14850,0,0.00%,13865,15265,265
2020-09-22,15200,15200,14550,14850,▼350,-2.30%,13839,15290,1671
2020-09-21,15150,15450,15000,15200,▲50,0.33%,13815,15255,2636
2020-09-18,15500,15700,15150,15150,▼450,-2.88%,13785,15190,870
2020-09-17,15250,15800,15250,15600,▲100,0.65%,13758,15120,435
2020-09-16,15450,15600,15350,15500,▲50,0.32%,13728,15040,506
2020-09-15,15750,15750,15000,15450,▲50,0.32%,13700,14940,3604
2020-09-14,15200,15800,15150,15400,▲200,1.32%,13671,14865,311
2020-09-11,15300,15550,15050,15200,▼250,-1.62%,13644,14795,2189
2020-09-10,15650,15650,15350,15450,▲350,2.32%,13621,14740,1328
2020-09-09,14500,15900,14500,15100,▲600,4.14%,13588,14645,3812
2020-09-08,14550,14600,14400,14500,▼50,-0.34%,13563,14540,2110
2020-09-07,14450,14650,14300,14550,▲100,0.69%,13544,14505,238
2020-09-04,14850,14850,14350,14450,▼350,-2.36%,13525,14455,1096
2020-09-03,14500,14800,14500,14800,▲300,2.07%,13507,14380,241
2020-09-02,14600,14650,14450,14500,▼200,-1.36%,13486,14280,1757
2020-09-01,14400,14750,14400,14700,0,0.00%,13472,14230,648
2020-08-31,14850,14850,14400,14700,▲50,0.34%,13455,14160,2248
2020-08-28,14950,14950,14400,14650,▲150,1.03%,13443,14165,2295
2020-08-27,14050,15350,14050,14500,▲450,3.20%,13434,14200,3926
2020-08-26,14750,14750,14000,14050,▼100,-0.71%,13430,14215,1665
2020-08-25,14050,14200,13850,14150,▲100,0.71%,13429,14210,1458
2020-08-24,13900,14100,13700,14050,▲350,2.55%,13428,14205,1244
2020-08-21,14200,14200,13600,13700,▼100,-0.72%,13430,14205,790
2020-08-20,14000,14400,13800,13800,▼200,-1.43%,13433,14255,2675
2020-08-19,14000,14200,14000,14000,0,0.00%,13438,14305,842
2020-08-18,14750,14750,13800,14000,▼750,-5.08%,13444,14330,2680
2020-08-14,15000,15000,14450,14750,▼250,-1.67%,13451,14355,1304
2020-08-13,14550,15200,14550,15000,▲350,2.39%,13453,14310,3668
2020-08-12,14000,14650,14000,14650,▲650,4.64%,13452,14230,1426
2020-08-11,14150,14200,14000,14000,▼100,-0.71%,13453,14165,751
2020-08-10,14150,14200,14000,14100,▲50,0.36%,13457,14190,238
2020-08-07,14650,14650,14000,14050,▼150,-1.06%,13459,14205,4955
2020-08-06,14450,14500,14100,14200,▼100,-0.70%,13463,14210,623
2020-08-05,14250,14300,14050,14300,▲50,0.35%,13464,14215,6752
2020-08-04,14300,14300,14000,14250,0,0.00%,13465,14215,4555
2020-08-03,14300,14450,14000,14250,▼50,-0.35%,13467,14230,2835
2020-07-31,14200,14300,14000,14300,▲100,0.70%,13470,14230,1153
2020-07-30,14000,14200,14000,14200,▲200,1.43%,13472,14225,724
2020-07-29,14250,14250,13950,14000,▼250,-1.75%,13474,14195,1508
2020-07-28,14700,14700,14000,14250,0,0.00%,13477,14185,2438
2020-07-27,14300,14300,14050,14250,▲150,1.06%,13478,14150,231
2020-07-24,14250,14500,14000,14100,▼150,-1.05%,13478,14130,1477
2020-07-23,14250,14400,14050,14250,▼50,-0.35%,13480,14130,1624
2020-07-22,14200,14350,14100,14300,▼100,-0.69%,13482,14125,1235
2020-07-21,14250,14550,14150,14400,▲150,1.05%,13484,14165,1484
2020-07-20,14300,14800,14000,14250,0,0.00%,13487,14200,792
2020-07-17,13900,14300,13900,14250,▲350,2.52%,13490,14250,1529
2020-07-16,13950,14200,13750,13900,0,0.00%,13494,14240,658
2020-07-15,14000,14250,13750,13900,0,0.00%,13500,14280,3905
2020-07-14,14000,14050,13800,13900,▼150,-1.07%,13508,14320,4611
2020-07-13,14300,14300,13850,14050,▼50,-0.35%,13515,14370,973
2020-07-10,14350,14400,13850,14100,▼100,-0.70%,13522,14400,2326
2020-07-09,14600,14900,14100,14200,▼500,-3.40%,13530,14430,4603
2020-07-08,14750,15200,14700,14700,▼50,-0.34%,13536,14460,1251
2020-07-07,14750,14900,14600,14750,0,0.00%,13539,14410,1594
