[일시]종근당홀딩스,시가,고가,저가,종가,대비,대비율,<가격이동평균>120,10,[거래량]
2020/12/24,123500,126000,121000,124500,▲500,＋0.40%,114156,125150,78078
2020/12/23,133000,136000,121000,124000,▼9000,－6.77%,114102,123850,223121
2020/12/22,137000,140000,132000,133000,▼4000,－2.92%,114052,122650,183944
2020/12/21,141000,149500,134000,137000,▼500,－0.36%,113943,120550,785929
2020/12/18,123000,156000,121000,137500,▲15000,＋12.24%,113823,118950,2190040
2020/12/17,118000,123000,117500,122500,▲4500,＋3.81%,113698,116200,153442
2020/12/16,119000,121500,117500,118000,▼1000,－0.84%,113698,114800,123082
2020/12/15,124000,128000,117500,119000,▼3500,－2.86%,113752,113850,509014
2020/12/14,114500,134500,113500,122500,▲9000,＋7.93%,113810,112850,1262952
2020/12/11,111500,116500,111000,113500,▲2000,＋1.79%,113852,111700,140125
2020/12/10,111000,115000,111000,111500,▼500,－0.45%,113918,110900,83872
2020/12/09,113000,115000,110500,112000,0.0,0.00%,114043,110200,92463
2020/12/08,118500,120500,111500,112000,▼9000,－7.44%,114214,109250,181868
2020/12/07,114000,130000,111500,121000,▲11000,＋10.00%,114356,108450,1322016
2020/12/04,109000,111500,108500,110000,▲1500,＋1.38%,114339,107400,87172
2020/12/03,108500,111500,106500,108500,0.0,0.00%,114460,109450,93460
2020/12/02,112500,112500,108000,108500,▼500,－0.46%,114598,108650,82270
2020/12/01,109500,115500,106500,109000,▼2000,－1.80%,114685,108000,297273
2020/11/30,108000,117000,106000,111000,▲5500,＋5.21%,114785,107100,770645
2020/11/27,105000,105500,103500,105500,▲1000,＋0.96%,114839,106350,55982
2020/11/26,103000,106500,103000,104500,▲2000,＋1.95%,114931,106000,137591
2020/11/25,105000,108000,102000,102500,▼1500,－1.44%,115018,105550,171844
2020/11/24,110000,110500,103500,104000,▼6500,－5.88%,115127,105350,249387
2020/11/23,128500,130500,110500,110500,▼20000,－15.33%,115260,105150,857935
2020/11/20,101000,130500,99900,130500,▲30000,＋29.85%,115335,104350,1711688
2020/11/19,102000,102000,100000,100500,▼1500,－1.47%,115243,101550,10713
2020/11/18,100000,102500,99700,102000,▲2000,＋2.00%,115352,101900,17330
2020/11/17,103000,103000,100000,100000,▼3500,－3.38%,115464,101620,27174
2020/11/16,102500,104000,101500,103500,▲1500,＋1.47%,115618,101620,27229
2020/11/13,99400,103000,99400,102000,▲2000,＋2.00%,115768,101000,12664
2020/11/12,100500,101500,100000,100000,▼500,－0.50%,115910,100520,13685
2020/11/11,102000,102500,100000,100500,▼1500,－1.47%,116089,100330,18365
2020/11/10,104000,104000,100000,102000,▼500,－0.49%,116260,100150,19598
