[일시]케이비아이동국실업,시가,고가,저가,종가,대비,대비율,<가격이동평균>120,10,[거래량]
2020/12/24,676,695,671,684,▲4,＋0.59%,617,693,81603
2020/12/23,668,689,664,680,▲12,＋1.80%,615,695,99765
2020/12/22,671,681,664,668,▼9,－1.33%,614,697,193735
2020/12/21,695,695,666,677,▼18,－2.59%,613,701,229419
2020/12/18,699,704,691,695,▼7,－1.00%,611,706,122351
2020/12/17,693,706,690,702,▲2,＋0.29%,610,711,151749
2020/12/16,711,714,697,700,▼2,－0.28%,608,714,102839
2020/12/15,720,730,702,702,▼7,－0.99%,607,718,380638
2020/12/14,710,720,705,709,▼5,－0.70%,605,722,98021
2020/12/11,703,718,701,714,▲11,＋1.56%,604,724,112824
2020/12/10,706,706,694,703,▲3,＋0.43%,602,725,53430
2020/12/09,706,715,678,700,▼8,－1.13%,601,726,182631
2020/12/08,725,731,705,708,▼23,－3.15%,599,727,186882
2020/12/07,740,740,725,731,▼5,－0.68%,598,727,40022
2020/12/04,745,747,723,736,▼5,－0.67%,596,719,148629
2020/12/03,737,744,727,741,▲1,＋0.14%,594,710,139519
2020/12/02,736,744,715,740,▲4,＋0.54%,593,700,167149
2020/12/01,743,747,727,736,▲2,＋0.27%,592,689,173736
2020/11/30,715,748,711,734,▲13,＋1.80%,591,679,258850
2020/11/27,711,722,702,721,▲10,＋1.41%,590,667,170414
2020/11/26,705,721,696,711,0.0,0.00%,589,657,359459
2020/11/25,709,722,690,711,▲3,＋0.42%,588,648,649159
2020/11/24,656,793,651,708,▲53,＋8.09%,587,638,4181305
2020/11/23,642,658,632,655,▲13,＋2.02%,586,628,241006
2020/11/20,640,646,638,642,▲2,＋0.31%,585,623,93800
2020/11/19,635,643,634,640,▲5,＋0.79%,585,619,146428
2020/11/18,628,640,627,635,▲6,＋0.95%,584,615,146241
2020/11/17,626,635,620,629,▲11,＋1.78%,584,611,136943
2020/11/16,617,624,616,618,▼2,－0.32%,584,608,370372
2020/11/13,620,624,613,620,0.0,0.00%,583,608,44457
2020/11/12,619,620,611,620,▲6,＋0.98%,583,607,101305
2020/11/11,612,616,605,614,▲7,＋1.15%,583,607,216471
