[일시]파수,시가,고가,저가,종가,대비,대비율,<가격이동평균>120,10,[거래량]
2020-12-24,7820,7870,7710,7800,▼30,-0.38%,6508,7835,100049
2020-12-23,7810,7920,7750,7830,▲20,0.26%,6477,7864,127506
2020-12-22,8180,8180,7720,7810,▼170,-2.13%,6443,7890,142739
2020-12-21,7560,7980,7560,7980,▲430,5.70%,6411,7926,203923
2020-12-18,7800,7800,7450,7550,▼150,-1.95%,6377,7937,116119
2020-12-17,8100,8100,7640,7700,▼270,-3.39%,6348,7985,186974
2020-12-16,7780,8230,7690,7970,▲180,2.31%,6317,8038,338812
2020-12-15,8130,8130,7690,7790,▼170,-2.14%,6285,8075,98493
2020-12-14,8150,8210,7650,7960,0,0.00%,6256,8095,97828
2020-12-11,8100,8130,7950,7960,▼130,-1.61%,6224,8083,81682
2020-12-10,8130,8400,7960,8090,0,0.00%,6192,8056,117216
2020-12-09,8180,8300,7900,8090,▼80,-0.98%,6159,8012,97519
2020-12-08,8090,8340,8030,8170,▲80,0.99%,6125,7955,135520
2020-12-07,8150,8180,7980,8090,▲60,0.75%,6090,7876,97014
2020-12-04,8240,8450,8000,8030,▼200,-2.43%,6054,7786,163890
2020-12-03,8400,8400,7780,8230,▼110,-1.32%,6023,7697,231090
2020-12-02,7990,8350,7990,8340,▲350,4.38%,5991,7584,170693
2020-12-01,7950,8310,7850,7990,▲150,1.91%,5957,7457,271181
2020-11-30,7810,7950,7620,7840,▲150,1.95%,5926,7330,175072
2020-11-27,7770,7770,7500,7690,▲40,0.52%,5896,7256,89850
2020-11-26,7590,7970,7420,7650,▲130,1.73%,5869,7205,419028
2020-11-25,7500,7630,7290,7520,▲140,1.90%,5840,7182,145367
2020-11-24,7240,7510,7100,7380,▲190,2.64%,5814,7150,133867
2020-11-23,7190,7290,6950,7190,▲50,0.70%,5788,7118,148925
2020-11-20,7040,7200,6710,7140,▲40,0.56%,5764,7111,89910
2020-11-19,7070,7340,7000,7100,▲30,0.42%,5738,7105,148445
2020-11-18,6740,7090,6570,7070,▲350,5.21%,5714,7108,78918
2020-11-17,7100,7170,6530,6720,▼380,-5.35%,5690,7081,209406
2020-11-16,7100,7260,6810,7100,▼80,-1.11%,5670,7089,149136
2020-11-13,7430,7500,7110,7180,▼240,-3.23%,5646,7044,168080
2020-11-12,7200,7750,7200,7420,▲220,3.06%,5622,6989,359718
2020-11-11,7130,7270,6950,7200,▲140,1.98%,5597,6910,62139
2020-11-10,7120,7130,6800,7060,▼60,-0.84%,5574,6874,44040
2020-11-09,7100,7200,7040,7120,▲40,0.56%,5552,6847,42976
2020-11-06,7130,7190,6950,7080,▼50,-0.70%,5530,6806,44483
2020-11-05,6770,7240,6770,7130,▲330,4.85%,5508,6811,106791
2020-11-04,6820,6880,6710,6800,0,0.00%,5487,6781,18315
2020-11-03,6630,6940,6630,6800,▲150,2.26%,5470,6800,52239
2020-11-02,6880,6880,6580,6650,▲20,0.30%,5454,6811,31796
2020-10-30,6630,6790,6610,6630,0,0.00%,5440,6827,27275
2020-10-29,6840,6840,5520,6630,▼210,-3.07%,5423,6874,88202
2020-10-28,6790,6950,6650,6840,▲50,0.74%,5405,6947,39579
