[일시]한양증권,시가,고가,저가,종가,대비,대비율,<가격이동평균>120,10,[거래량]
2020/12/24,9450,9560,9430,9530,▲80,＋0.85%,8866,9547,53054
2020/12/23,9380,9510,9350,9450,▲70,＋0.75%,8846,9563,46447
2020/12/22,9560,9560,9360,9380,▼180,－1.88%,8826,9589,111127
2020/12/21,9540,9600,9430,9560,▲20,＋0.21%,8806,9613,50896
2020/12/18,9540,9550,9460,9540,▲10,＋0.10%,8784,9638,31792
2020/12/17,9580,9590,9450,9530,▼50,－0.52%,8763,9675,33496
2020/12/16,9560,9620,9500,9580,▲40,＋0.42%,8742,9707,35512
2020/12/15,9640,9650,9490,9540,▼70,－0.73%,8722,9738,39637
2020/12/14,9690,9690,9560,9610,▼140,－1.44%,8702,9773,44464
2020/12/11,9660,9810,9600,9750,▲60,＋0.62%,8681,9787,52720
2020/12/10,9700,9710,9600,9690,▼20,－0.21%,8659,9812,28182
2020/12/09,9630,9760,9620,9710,▲90,＋0.94%,8638,9837,26661
2020/12/08,9830,9830,9580,9620,▼190,－1.94%,8616,9859,47379
2020/12/07,9930,9970,9720,9810,▼100,－1.01%,8594,9880,37927
2020/12/04,9850,10050,9760,9910,▲60,＋0.61%,8568,9873,63613
2020/12/03,9910,9910,9250,9850,▼40,－0.40%,8545,9844,39220
2020/12/02,9930,9970,9830,9890,0.0,0.00%,8524,9819,20601
2020/12/01,9780,9910,9720,9890,▲140,＋1.44%,8503,9798,30926
2020/11/30,10000,10000,9710,9750,▼250,－2.50%,8483,9795,51679
2020/11/27,9950,10050,9850,10000,▲60,＋0.60%,8464,9812,46159
2020/11/26,9880,9960,9810,9940,▲10,＋0.10%,8443,9776,28691
2020/11/25,9840,10200,9780,9930,▲100,＋1.02%,8422,9726,131710
2020/11/24,9750,9880,9730,9830,▲90,＋0.92%,8402,9678,55088
2020/11/23,9610,9780,9480,9740,▲120,＋1.25%,8380,9619,57762
2020/11/20,9580,9870,9560,9620,▲20,＋0.21%,8357,9559,54197
2020/11/19,9680,9680,9480,9600,▼80,－0.83%,8334,9501,56090
2020/11/18,9880,9930,9600,9680,▼180,－1.83%,8311,9447,98370
2020/11/17,9970,10100,9740,9860,▼60,－0.60%,8288,9389,126243
2020/11/16,9740,10200,9540,9920,▲280,＋2.90%,8263,9316,544005
2020/11/13,9400,9660,9320,9640,▲200,＋2.12%,8236,9216,112283
2020/11/12,9460,9490,9270,9440,▼10,－0.11%,8212,9137,99764
2020/11/11,9250,9480,9150,9450,▲210,＋2.27%,8190,9083,150092
2020/11/10,9180,9320,9130,9240,▲100,＋1.09%,8169,9040,106609
2020/11/09,9010,9210,9000,9140,▲100,＋1.11%,8149,9006,80160
2020/11/06,9080,9090,8990,9040,▼20,－0.22%,8129,8980,58234
2020/11/05,9080,9120,8990,9060,▼40,－0.44%,8111,8990,57664
2020/11/04,9150,9150,8950,9100,▼30,－0.33%,8087,9009,41743
2020/11/03,8920,9150,8910,9130,▲210,＋2.35%,8063,8994,25204
2020/11/02,8810,8920,8710,8920,▲70,＋0.79%,8039,8931,20874
2020/10/30,8900,8930,8770,8850,▼50,－0.56%,8017,8898,24544
2020/10/29,8930,8960,8730,8900,▼120,－1.33%,7997,8861,48738
2020/10/28,8820,9020,8820,9020,▲120,＋1.35%,7975,8821,31126
2020/10/27,8700,8920,8660,8900,▲20,＋0.23%,7952,8777,26488
2020/10/26,9130,9130,8850,8880,▼260,－2.84%,7930,8752,56568
2020/10/23,9250,9480,9050,9140,▼110,－1.19%,7908,8729,142533
2020/10/22,8900,9270,8890,9250,▲300,＋3.35%,7883,8682,167996
2020/10/21,8560,9020,8500,8950,▲450,＋5.29%,7857,8615,174694
2020/10/20,8590,8610,8400,8500,▼90,－1.05%,7832,8580,38593
2020/10/19,8480,8620,8480,8590,▲110,＋1.30%,7811,8580,13997
2020/10/16,8500,8570,8400,8480,▼20,－0.24%,7789,8561,32432
2020/10/15,8580,8580,8450,8500,▼80,－0.93%,7769,8539,23829
2020/10/14,8630,8680,8520,8580,▼70,－0.81%,7749,8504,25962
2020/10/13,8670,8730,8620,8650,0.0,0.00%,7728,8460,18939
2020/10/12,8670,8730,8610,8650,▼20,－0.23%,7704,8425,22610
2020/10/08,8610,8730,8610,8670,▲90,＋1.05%,7681,8388,42898
2020/10/07,8550,8630,8500,8580,▼20,－0.23%,7658,8365,18873
2020/10/06,8520,8650,8480,8600,▲100,＋1.18%,7635,8362,33561
2020/10/05,8420,8500,8330,8500,▲100,＋1.19%,7612,8355,22840
2020/09/29,8330,8430,8320,8400,▲140,＋1.69%,7589,8365,20645
2020/09/28,8150,8330,8150,8260,▲110,＋1.35%,7567,8389,7517
2020/09/25,8150,8230,8110,8150,▲10,＋0.12%,7546,8427,15647
2020/09/24,8170,8240,8060,8140,▼160,－1.93%,7523,8476,33161
2020/09/23,8290,8350,8130,8300,▲20,＋0.24%,7501,8520,15848
2020/09/22,8410,8410,8190,8280,▼160,－1.90%,7477,8550,39297
2020/09/21,8520,8590,8350,8440,▼110,－1.29%,7452,8594,41702
2020/09/18,8570,8900,8520,8550,▲20,＋0.23%,7425,8624,82243
2020/09/17,8600,8680,8470,8530,▼70,－0.81%,7396,8637,33261
2020/09/16,8640,8660,8550,8600,▼40,－0.46%,7366,8668,44220
2020/09/15,8650,8660,8590,8640,0.0,0.00%,7336,8704,27837
2020/09/14,8640,8690,8580,8640,0.0,0.00%,7302,8720,40937
2020/09/11,8600,8670,8510,8640,▲60,＋0.70%,7267,8719,48104
2020/09/10,8730,8730,8570,8580,▼20,－0.23%,7236,8724,27324
2020/09/09,8700,8700,8570,8600,▼120,－1.38%,7203,8729,42491
2020/09/08,8840,8840,8700,8720,▼20,－0.23%,7176,8758,27257
2020/09/07,8680,8860,8680,8740,▲60,＋0.69%,7149,8786,37808
2020/09/04,8770,8770,8620,8680,▼160,－1.81%,7124,8783,50024
2020/09/03,8990,9010,8830,8840,▼120,－1.34%,7100,8794,50420
2020/09/02,8850,9000,8810,8960,▲160,＋1.82%,7078,8792,31892
2020/09/01,8660,8940,8590,8800,▲170,＋1.97%,7058,8812,69606
2020/08/31,8720,8840,8600,8630,▼60,－0.69%,7040,8828,48882
2020/08/28,8690,8820,8630,8690,▲60,＋0.70%,7025,8915,52744
2020/08/27,8930,8930,8630,8630,▼260,－2.92%,7010,9019,55725
2020/08/26,9050,9050,8710,8890,▼110,－1.22%,6997,9099,81035
2020/08/25,8800,9000,8720,9000,▲290,＋3.33%,6981,9157,89700
2020/08/24,8770,8800,8670,8710,▼80,－0.91%,6964,9210,48752
2020/08/21,8740,9070,8710,8790,▼30,－0.34%,6957,9262,57217
2020/08/20,9180,9180,8620,8820,▼340,－3.71%,6949,9303,113490
2020/08/19,8980,9220,8980,9160,▲200,＋2.23%,6942,9340,62015
2020/08/18,9340,9340,8940,8960,▼540,－5.68%,6933,9316,198175
2020/08/14,10400,10600,9040,9500,▼230,－2.36%,6927,9271,718416
2020/08/13,9430,9800,9340,9730,▲300,＋3.18%,6915,9147,204833
2020/08/12,9470,9480,9140,9430,▼40,－0.42%,6906,8988,81149
2020/08/11,9620,9890,9340,9470,▼60,－0.63%,6898,8851,164071
2020/08/10,9280,9600,9250,9530,▲300,＋3.25%,6890,8709,147541
2020/08/07,9280,9430,9130,9230,▲30,＋0.33%,6883,8566,82047
2020/08/06,9220,9460,9110,9200,▲10,＋0.11%,6878,8433,117356
2020/08/05,9000,9190,8850,9190,▲270,＋3.03%,6873,8316,165737
2020/08/04,8550,8930,8550,8920,▲410,＋4.82%,6871,8217,131300
2020/08/03,8280,8510,8260,8510,▲250,＋3.03%,6869,8151,55626
2020/07/31,8140,8360,8080,8260,▲120,＋1.47%,6870,8101,71673
2020/07/30,8060,8230,7990,8140,▲80,＋0.99%,6874,8075,24147
2020/07/29,8090,8090,7990,8060,▲10,＋0.12%,6880,8042,11492
2020/07/28,8100,8220,7990,8050,▼50,－0.62%,6887,7997,49111
2020/07/27,7830,8180,7810,8100,▲200,＋2.53%,6895,7945,50056
2020/07/24,8010,8010,7810,7900,▼130,－1.62%,6904,7891,50856
2020/07/23,8230,8250,7950,8030,▼170,－2.07%,6914,7838,64758
2020/07/22,8250,8430,8200,8200,▼60,－0.73%,6927,7777,65233
2020/07/21,8020,8260,8000,8260,▲250,＋3.12%,6937,7687,106022
2020/07/20,8050,8070,7960,8010,▲10,＋0.13%,6944,7587,82868
2020/07/17,7860,8030,7860,8000,▲190,＋2.43%,6950,7509,129273
2020/07/16,7670,7960,7650,7810,▲200,＋2.63%,6959,7437,124943
2020/07/15,7600,7620,7540,7610,▲80,＋1.06%,6968,7367,31191
2020/07/14,7560,7560,7450,7530,▼30,－0.40%,6977,7311,12204
2020/07/13,7360,7570,7360,7560,▲190,＋2.58%,6984,7254,53025
2020/07/10,7360,7470,7270,7370,▼50,－0.67%,6992,7189,34801
2020/07/09,7300,7450,7300,7420,▲120,＋1.64%,7000,7157,29939
2020/07/08,7250,7330,7250,7300,▲40,＋0.55%,7009,7120,26595
2020/07/07,7300,7330,7250,7260,▲30,＋0.41%,7020,7106,24371
2020/07/06,7380,7380,7200,7230,▼50,－0.69%,7032,7090,26433
2020/07/03,7130,7350,7110,7280,▲170,＋2.39%,7044,7077,32828
2020/07/02,7050,7120,7050,7110,▲60,＋0.85%,7055,7065,8162
2020/07/01,6980,7130,6950,7050,▲90,＋1.29%,7067,7069,23574
2020/06/30,6940,7060,6910,6960,▲50,＋0.72%,7080,7065,15810
2020/06/29,7040,7040,6890,6910,▼140,－1.99%,7092,7071,27002
2020/06/26,7050,7110,6990,7050,0.0,0.00%,7104,7052,29391
2020/06/25,7000,7070,7000,7050,▼110,－1.54%,7111,7060,19423
2020/06/24,7120,7170,7090,7160,▲60,＋0.85%,7118,7085,11358
2020/06/23,7110,7230,7060,7100,0.0,0.00%,7126,7112,26825
2020/06/22,7200,7200,7000,7100,▼60,－0.84%,7138,7144,26209
