[일시]한화,시가,고가,저가,종가,대비,대비율,<가격이동평균>120,10,[거래량]
2020-12-24,27050,28700,27000,27950,▲1150,4.29%,25896,26615,1676840
2020-12-23,26300,26950,25850,26800,▲600,2.29%,25851,26400,561498
2020-12-22,26250,26700,26000,26200,▼350,-1.32%,25814,26330,645216
2020-12-21,26500,26600,26150,26550,▲150,0.57%,25780,26275,299965
2020-12-18,26600,26850,26400,26400,▼150,-0.56%,25738,26210,364555
2020-12-17,26750,26900,26350,26550,▼150,-0.56%,25701,26195,321570
2020-12-16,26600,26800,26450,26700,▲450,1.71%,25666,26200,374615
2020-12-15,26250,26400,25900,26250,▲50,0.19%,25635,26200,278872
2020-12-14,26600,26900,26200,26200,▼350,-1.32%,25612,26185,524368
2020-12-11,26000,26600,26000,26550,▲750,2.91%,25583,26145,549641
2020-12-10,25950,26100,25650,25800,▼300,-1.15%,25555,26125,357504
2020-12-09,25650,26100,25650,26100,▲450,1.75%,25533,26190,307205
2020-12-08,25950,26100,25650,25650,▼250,-0.97%,25518,26245,276395
2020-12-07,26100,26150,25650,25900,▼350,-1.33%,25504,26360,345327
2020-12-04,26400,26650,26050,26250,▼350,-1.32%,25475,26425,398504
2020-12-03,26700,26700,26300,26600,▼100,-0.37%,25462,26415,301153
2020-12-02,26150,26700,25900,26700,▲600,2.30%,25451,26370,476363
2020-12-01,25700,26100,25500,26100,▲300,1.16%,25454,26395,308719
2020-11-30,26350,26450,25700,25800,▼550,-2.09%,25478,26465,501345
2020-11-27,26400,26550,26150,26350,▼100,-0.38%,25453,26590,298362
2020-11-26,26550,26650,26200,26450,▼200,-0.75%,25410,26620,311512
2020-11-25,27250,27250,26300,26650,▼150,-0.56%,25364,26590,521022
2020-11-24,26750,27250,26500,26800,▲250,0.94%,25318,26600,743556
2020-11-23,26050,26600,25800,26550,▲400,1.53%,25264,26560,417508
2020-11-20,26150,26450,26000,26150,0,0.00%,25213,26525,308951
2020-11-19,27000,27050,25800,26150,▼800,-2.97%,25163,26455,902123
2020-11-18,26950,27000,26650,26950,▲150,0.56%,25112,26400,423598
2020-11-17,27150,27350,26600,26800,▼250,-0.92%,25055,26165,780384
2020-11-16,27100,27400,26650,27050,▲400,1.50%,24996,26010,975374
2020-11-13,26100,26700,25650,26650,▲500,1.91%,24934,25765,566672
2020-11-12,26800,26800,25800,26150,▼600,-2.24%,24875,25505,662909
2020-11-11,26400,27000,26200,26750,▲350,1.33%,24820,25400,654511
2020-11-10,26300,26500,25750,26400,▲200,0.76%,24758,25275,503375
2020-11-09,25750,26250,25500,26200,▲750,2.95%,24700,25180,406236
2020-11-06,25800,25850,25150,25450,▼150,-0.59%,24642,25115,249422
2020-11-05,25150,25600,24900,25600,▲1000,4.07%,24588,25185,370571
2020-11-04,25500,25500,24350,24600,▼650,-2.57%,24532,25270,471049
2020-11-03,24650,25250,24650,25250,▲650,2.64%,24486,25450,179944
2020-11-02,23950,24850,23950,24600,▲550,2.29%,24433,25440,228128
2020-10-30,24900,25100,24050,24050,▼1050,-4.18%,24388,25495,416180
2020-10-29,24950,25150,24650,25100,▼400,-1.57%,24347,25650,262139
2020-10-28,25100,25550,25100,25500,▲50,0.20%,24296,25745,185489
2020-10-27,25100,25750,24950,25450,▼100,-0.39%,24241,25860,216260
2020-10-26,25900,26100,25450,25550,▼600,-2.29%,24188,26000,199091
2020-10-23,26550,26600,25900,26150,▼300,-1.13%,24148,26165,180461
2020-10-22,26250,26600,25900,26450,▲50,0.19%,24092,26205,275300
